,0
segment5_Az_median,0.014537472177435113
segment8_Az_median,0.014070244969055528
segment20_Az_median,0.01354052752125968
segment9_Az_median,0.012222939726594766
segment7_Az_median,0.011845302489139056
segment3_Az_median,0.010476413365069732
segment17_Az_median,0.010472425752110487
segment23_Az_median,0.010277924389716161
segment21_Az_median,0.00962805102015495
segment11_Az_median,0.009401281356899199
segment17_Az_mean,0.008428725912571504
segment15_Az_median,0.008291533258002116
segment13_Az_median,0.008178571862887079
segment4_Az_median,0.007828875240628749
segment10_Az_median,0.0077251706998724195
segment18_Az_median,0.007480097092328027
segment20_Az_std,0.007423875454712088
segment14_Az_median,0.0071631485842247895
segment25_Az_median,0.006915517609225574
segment16_Az_std,0.006715707596941604
segment12_Az_std,0.0066144219303294555
segment12_Az_median,0.006259743978883088
segment17_Az_std,0.006240567023917549
segment1_Az_median,0.005928908291774904
segment1_Az_mean,0.00578016023563054
segment22_Az_median,0.005572037540480977
segment19_Az_median,0.005425758060516269
segment18_Az_std,0.005303333689931812
segment26_Az_median,0.00522894934694548
segment19_Az_std,0.005109238477672213
segment6_Az_std,0.005092460976555442
segment2_Az_median,0.005039309047345755
segment18_Az_mean,0.0050258474262886085
segment21_Az_std,0.004869108445290302
segment7_Az_mean,0.004834344159075074
segment12_Az_mean,0.004721886484397306
segment6_Az_median,0.004716556753833715
segment9_Az_std,0.0047073586076201305
segment7_Az_std,0.004617450209193992
segment22_Az_std,0.004583014836384145
segment2_Az_mean,0.004528577838225115
segment17_Ax_mean,0.0044580519385333086
segment11_Az_mean,0.004380190493195396
segment14_Az_std,0.004328038194935836
segment19_Ax_std,0.00424936630265646
segment0_Az_median,0.004247918764963982
segment12_Ax_std,0.0039929463150778135
segment7_Ax_mean,0.0038319628824515614
segment15_Ax_mean,0.0038210753760979017
segment26_Ax_mean,0.0036953270076824185
segment7_Ax_max,0.0036398337155264314
segment16_Az_median,0.0036326523198054964
segment16_Ax_mean,0.003620670617440267
segment24_Az_std,0.0036066569698673173
segment12_Ax_mean,0.003586801760712058
segment9_Gx_median,0.003576705077573091
segment8_Az_std,0.0035558902342103663
segment4_Az_mean,0.003500419929696055
segment13_Ax_std,0.0034629777967757226
segment13_Az_std,0.003409457772506566
segment4_Az_std,0.003399185276769521
segment26_Ax_max,0.0033713684345706737
segment18_Ax_mean,0.003291200146925928
segment18_Az_max,0.003150853142622917
segment20_Ax_mean,0.003092883360068809
segment14_Ax_std,0.0030843272127686117
segment1_Ax_mean,0.00305716517104802
segment21_Ax_mean,0.0030366217696267323
segment14_Ax_mean,0.003030934385651554
segment26_Az_std,0.002980194605778638
segment3_Gz_mean,0.0029584844624615365
segment6_Gz_mean,0.0029480635941687605
segment25_Az_std,0.002919127640044959
segment8_Gz_mean,0.0028739880767112203
segment8_Az_mean,0.0028733653269945
segment24_Az_median,0.002850931368512863
segment6_Ax_mean,0.002841608700961638
segment25_Ax_mean,0.002837622254614774
segment10_Az_std,0.0028325708223226713
segment5_Az_std,0.002801056166703907
segment11_Ax_mean,0.0027776699556668143
segment23_Ax_mean,0.0027467343653716707
segment15_Az_std,0.0027289975894634498
segment14_Az_mean,0.002707266835767551
segment3_Gx_std,0.0027055218919251147
segment1_Az_std,0.0026680232944851245
segment5_Ax_mean,0.002614385559730364
segment0_Ay_mean,0.002612898239446172
segment11_Az_std,0.0026124155099903393
segment10_Az_mean,0.0025980340093557873
segment25_Az_mean,0.0025915252750244987
segment19_Az_mean,0.0025505837988320174
segment21_Gz_mean,0.0025387378319462425
segment15_Ax_std,0.0025181070227433848
segment3_Ax_max,0.002487063977136148
segment9_Ax_std,0.002478119093101724
segment19_Ax_mean,0.002476894425129697
segment3_Az_std,0.002457904591343112
segment6_Ax_std,0.0024066508010690134
segment16_Az_mean,0.0024041390478694966
segment17_Ax_std,0.0023850213434286273
segment10_Ax_mean,0.002363948335981453
segment15_Az_max,0.002360923749976077
segment20_Gz_mean,0.00234712784524969
segment24_Ax_std,0.002310496567030771
segment18_Ay_max,0.002310084372807681
segment16_Ax_std,0.002291970794389334
segment18_Ax_std,0.0022899357712843917
segment23_Ax_std,0.002205866722421406
segment5_Ay_mean,0.0021804213952340903
segment13_Ax_mean,0.0021771627596198135
segment15_Gz_median,0.0021672694022601717
segment7_Ax_std,0.0021568953368716203
segment17_Gz_mean,0.0021552812940103406
segment11_Ax_max,0.002155017939128346
segment21_Gx_max,0.0021254829880334378
segment4_Gz_mean,0.002123638807353621
segment13_Az_mean,0.002118011595598027
segment9_Ax_max,0.002105337548353417
segment20_Gz_median,0.0020805342371566665
segment14_Ay_mean,0.00205408213952065
segment16_Gz_mean,0.0020382194697288448
segment9_Gz_mean,0.0020242887713998836
segment4_Ax_mean,0.002007571154947431
segment3_Ax_mean,0.00200437026249138
segment24_Ax_max,0.0019640470891522295
segment14_Gx_max,0.0019496744707820678
segment25_Gx_std,0.0019380660240862274
segment24_Ax_mean,0.0019190131824149577
segment6_Gx_std,0.0019051377529097093
segment8_Ay_max,0.00190088680851632
segment21_Ax_std,0.001894113408233927
segment25_Ax_std,0.0018922173528649385
segment8_Gx_std,0.0018742439837221485
segment11_Ay_max,0.001872977555580999
segment3_Ay_max,0.0018715378492859009
segment2_Gz_mean,0.0018470578799316217
segment12_Gx_max,0.0018405362006336577
segment4_Ax_std,0.001839259534086159
segment14_Gz_median,0.001826998485101155
segment18_Gz_median,0.0018069988043052862
segment14_Gx_std,0.0018053757757027235
segment5_Ax_max,0.0017899804878926816
segment0_Ay_median,0.0017870480586911252
