feature,rank_analysis_xgb,rank_analysis_rf,rank_analysis_lgbm,rank_analysis_catboost,mean_rank
swing25_max_Ax,377,95,263,93,207.0
swing20_rms_Az,356,164,267,41,207.0
swing27_mean_Az,296,61,268,204,207.25
swing21_max_Ax,151,435,212,40,209.5
test_time,357,375,26,83,210.25
swing18_mean_Gy,82,309,272,184,211.75
swing6_std_Az,249,286,113,202,212.5
swing7_mean_Gy,70,477,152,153,213.0
swing17_max_Ax,143,223,173,322,215.25
swing23_max_Ay,248,237,58,318,215.25
swing6_mean_Gy,170,512,27,158,216.75
swing17_median_Gz,137,147,68,523,218.75
swing27_rms_Az,222,133,264,258,219.25
swing18_rms_Az,337,241,271,30,219.75
swing14_max_Ay,262,204,48,367,220.25
swing17_rms_Az,325,247,183,132,221.75
swing16_rms_Az,110,126,223,432,222.75
swing17_std_Ax,182,250,209,251,223.0
swing17_median_Gx,275,146,142,331,223.5
swing7_median_Gz,309,167,340,91,226.75
swing13_rms_Az,668,65,161,17,227.75
swing19_median_Gz,100,218,108,490,229.0
swing24_rms_Az,430,187,170,130,229.25
swing18_rms_Gx,45,140,565,167,229.25
swing16_mean_Az,340,299,90,192,230.25
swing10_min_Gy,246,565,31,87,232.25
swing18_mean_Gz,316,207,121,287,232.75
swing9_std_Ax,436,180,179,136,232.75
swing20_rms_Gx,128,118,306,380,233.0
swing22_median_Gz,287,289,110,248,233.5
swing21_mean_Az,302,281,287,68,234.5
swing10_median_Gz,172,220,132,419,235.75
swing16_max_Ay,245,107,294,297,235.75
swing7_max_Ay,277,285,327,57,236.5
swing21_rms_Gx,47,236,163,514,240.0
swing22_mean_Gy,178,175,73,536,240.5
swing14_std_Ax,375,215,293,82,241.25
swing27_mean_Gy,89,580,151,148,242.0
swing27_median_Gx,156,431,262,124,243.25
swing27_median_Ay,107,511,80,280,244.5
swing15_mean_Gy,304,311,259,107,245.25
swing22_median_Gy,59,468,344,114,246.25
swing10_rms_Ax,461,67,33,431,248.0
swing15_median_Ay,419,328,86,161,248.5
swing12_median_Ay,342,417,127,122,252.0
swing19_mean_Az,440,79,269,238,256.5
swing11_max_Ay,216,197,155,464,258.0
swing27_mean_Ay,189,525,17,307,259.5
swing20_mean_Gz,351,183,125,379,259.5
swing23_max_Ax,402,202,279,157,260.0
swing24_max_Gx,76,374,433,166,262.25
swing24_std_Gx,505,212,240,97,263.5
swing16_max_Ax,485,211,254,118,267.0
swing12_rms_Az,322,251,394,102,267.25
swing5_min_Gy,102,582,201,193,269.5
swing12_median_Gz,230,217,450,188,271.25
swing22_max_Gx,5,399,297,385,271.5
swing6_mean_Ax,106,418,396,171,272.75
swing7_median_Az,609,91,149,242,272.75
swing22_min_Ay,157,189,199,547,273.0
swing21_median_Gz,46,151,146,756,274.75
swing22_max_Ax,193,75,106,726,275.0
swing16_median_Gz,163,206,257,474,275.0
swing23_mean_Ax,386,208,154,353,275.25
swing13_std_Ax,428,90,207,382,276.75
swing7_min_Az,153,420,153,389,278.75
swing22_min_Ax,439,341,249,95,281.0
swing22_std_Gx,72,322,508,225,281.75
swing24_mean_Gz,188,333,200,407,282.0
swing10_min_Ay,314,294,227,294,282.25
swing8_median_Ay,365,593,63,112,283.25
swing22_rms_Ay,112,260,362,405,284.75
swing9_max_Ay,212,278,377,276,285.75
swing14_mean_Ay,65,288,140,651,286.0
swing5_mean_Gy,270,291,229,357,286.75
swing14_mean_Ax,115,245,141,653,288.5
swing20_std_Az,822,68,195,72,289.25
swing5_max_Ax,312,271,230,347,290.0
swing25_rms_Gz,26,557,325,256,291.0
swing5_rms_Az,596,86,276,207,291.25
swing27_median_Gz,51,437,242,440,292.5
swing15_median_Gz,83,257,311,521,293.0
swing11_mean_Gy,334,382,385,79,295.0
swing20_std_Ax,431,168,427,156,295.5
swing13_mean_Gz,311,320,241,315,296.75
swing9_mean_Gy,407,388,266,129,297.5
swing26_mean_Az,205,54,442,491,298.0
swing14_mean_Gz,474,117,315,290,299.0
swing11_mean_Gz,94,464,386,252,299.0
