feature,rank_analysis_xgb,rank_analysis_rf,rank_analysis_lgbm,rank_analysis_catboost,mean_rank
swing25_max_Az,627,545,452,603,556.75
swing17_std_Gz,497,500,423,809,557.25
swing20_max_Az,820,761,353,296,557.5
swing13_max_Gx,726,306,540,662,558.5
swing11_median_Gy,387,622,590,637,559.0
swing10_median_Ax,352,532,651,701,559.0
swing19_median_Ax,56,688,754,739,559.25
swing13_std_Gz,208,740,638,657,560.75
swing27_max_Az,598,624,469,554,561.25
swing13_rms_Gy,730,407,456,658,562.75
swing9_min_Ay,781,381,381,713,564.0
swing12_std_Ay,678,528,420,630,564.0
swing15_std_Gy,699,533,235,791,564.5
swing23_max_Gx,562,630,538,532,565.5
swing14_std_Gy,712,513,547,495,566.75
swing18_median_Gz,673,283,571,743,567.5
swing21_median_Ay,752,549,205,765,567.75
swing12_rms_Gy,649,683,531,409,568.0
swing6_min_Gx,578,604,677,415,568.5
swing5_std_Gz,603,627,685,361,569.0
swing24_rms_Gy,619,618,471,571,569.75
swing24_rms_Gz,615,509,549,607,570.0
swing13_std_Gy,728,576,318,659,570.25
swing9_max_Gx,745,389,644,503,570.25
swing24_std_Gy,621,677,409,575,570.5
swing8_max_Gx,659,314,636,680,572.25
swing18_min_Gy,522,599,432,746,574.75
swing10_std_Ay,813,560,576,352,575.25
swing6_rms_Gx,582,371,723,627,575.75
swing9_std_Ay,466,701,444,700,577.75
swing7_mean_Gx,527,361,730,695,578.25
swing19_mean_Gx,795,506,752,267,580.0
swing9_median_Ax,348,706,743,524,580.25
swing25_max_Gy,636,803,607,279,581.25
swing13_std_Ay,515,449,698,667,582.25
swing22_std_Gz,526,698,503,605,583.0
swing15_median_Gx,702,290,548,792,583.0
swing12_min_Ay,679,444,583,629,583.75
swing14_rms_Gy,328,660,545,803,584.0
swing24_max_Az,564,644,550,578,584.0
swing26_median_Ax,604,762,434,540,585.0
swing21_median_Ax,520,521,779,522,585.5
swing25_min_Az,626,726,528,462,585.5
swing23_min_Gz,558,805,815,168,586.5
swing23_std_Ay,539,614,613,580,586.5
swing14_min_Gx,705,674,464,506,587.25
swing20_mean_Gx,819,603,499,430,587.75
swing17_mean_Gy,654,301,584,814,588.25
swing22_min_Gy,767,679,345,562,588.25
swing26_std_Gy,570,703,517,565,588.75
swing23_rms_Ay,536,776,609,435,589.0
swing20_std_Ay,826,723,509,299,589.25
swing16_rms_Gx,722,191,625,819,589.25
swing6_max_Gx,580,441,676,666,590.75
swing5_rms_Ay,593,651,534,585,590.75
swing12_std_Gy,691,575,479,622,591.75
swing19_min_Ay,802,414,416,736,592.0
swing27_min_Gz,283,821,719,546,592.25
swing13_min_Gx,228,792,692,663,593.75
swing15_min_Ay,710,746,652,268,594.0
swing6_median_Ay,467,694,436,781,594.5
swing24_min_Gy,299,700,811,574,596.0
swing17_max_Gy,373,563,641,811,597.0
swing23_rms_Gy,555,617,790,428,597.5
swing10_max_Gy,298,820,567,707,598.0
swing15_mean_Gx,409,672,828,485,598.5
swing17_max_Gx,656,262,665,816,599.75
swing6_min_Gy,605,556,597,642,600.0
swing23_max_Gz,559,693,816,333,600.25
swing17_mean_Gx,506,515,580,807,602.0
swing15_median_Ax,713,765,650,282,602.5
swing5_median_Ax,410,699,746,556,602.75
swing13_std_Gx,723,332,693,664,603.0
swing18_max_Gy,677,814,696,232,604.75
swing10_std_Ax,757,574,401,712,611.0
swing12_std_Gx,685,579,559,625,612.0
swing25_mean_Gx,643,398,805,602,612.0
swing18_min_Gx,680,798,757,214,612.25
swing21_rms_Ay,751,578,368,754,612.75
swing8_rms_Ay,532,507,736,683,614.5
swing25_std_Gz,633,645,587,597,615.5
swing5_min_Ax,590,813,511,553,616.75
swing25_median_Gx,640,752,478,599,617.25
swing16_std_Ay,735,718,663,362,619.5
swing21_median_Gy,743,639,774,324,620.0
swing11_rms_Ay,789,336,687,671,620.75
swing7_max_Az,625,463,701,696,621.25
swing8_rms_Gy,774,737,302,676,622.25
swing25_min_Gz,632,732,600,527,622.75
swing7_min_Gz,561,802,734,402,624.75
swing23_rms_Gz,560,536,818,587,625.25
swing25_std_Ay,611,681,604,608,626.0
swing14_max_Gx,706,527,799,477,627.25
swing21_max_Gy,475,756,523,760,628.5
swing17_median_Ax,664,496,533,822,628.75
swing19_max_Gz,808,729,786,209,633.0
swing13_rms_Gz,736,516,630,654,634.0
swing8_max_Gz,777,758,742,261,634.5
swing16_median_Ax,737,364,662,782,636.25
swing11_min_Ay,788,453,632,672,636.25
swing6_min_Gz,634,769,703,441,636.75
swing20_rms_Gz,759,544,475,770,637.0
swing9_rms_Gy,750,687,397,718,638.0
swing11_std_Gz,806,663,668,417,638.5
swing8_std_Ay,546,711,622,684,640.75
swing20_min_Ay,825,317,672,753,641.75
swing11_min_Gy,801,541,591,639,643.0
swing22_mean_Gx,772,763,617,421,643.25
swing5_mean_Gx,597,676,745,559,644.25
swing16_min_Gx,725,716,623,515,644.75
swing18_rms_Gz,738,411,690,742,645.25
swing8_median_Ax,550,682,666,685,645.75
swing17_min_Gx,657,789,764,373,645.75
swing7_min_Gx,623,793,731,452,649.75
swing16_min_Gz,693,770,789,348,650.0
swing9_rms_Ay,783,626,715,481,651.25
swing25_min_Gx,642,774,806,384,651.5
swing12_std_Gz,652,504,808,646,652.5
swing27_max_Gx,594,741,725,551,652.75
swing21_min_Gx,746,815,776,277,653.5
swing13_median_Gy,729,779,640,472,655.0
swing16_min_Gy,720,632,817,453,655.5
swing12_rms_Ay,521,727,748,628,656.0
swing27_min_Gx,595,799,726,505,656.25
swing13_min_Gz,733,605,633,656,656.75
swing26_max_Gy,569,750,744,564,656.75
swing14_rms_Gz,433,697,700,798,657.0
swing10_rms_Ay,818,387,716,711,658.0
swing18_median_Ax,672,684,760,517,658.25
swing27_max_Gz,589,791,718,545,660.75
swing25_median_Ax,614,673,749,612,662.0
swing23_std_Gz,557,689,814,589,662.25
swing8_min_Gy,770,781,634,465,662.5
swing20_std_Gy,812,587,481,773,663.25
swing21_mean_Ay,755,611,519,768,663.25
swing6_rms_Gz,638,601,702,714,663.75
swing20_min_Gx,817,755,673,411,664.0
swing13_median_Ax,658,778,804,418,664.5
swing13_max_Gy,429,780,802,648,664.75
swing14_std_Gz,434,635,795,802,666.5
swing6_max_Gz,635,787,729,520,667.75
swing5_min_Gz,586,794,553,738,667.75
swing6_min_Ay,574,548,721,829,668.0
swing26_max_Gz,566,806,739,563,668.5
swing7_max_Gy,533,733,717,692,668.75
swing11_rms_Gz,676,685,682,634,669.25
swing24_min_Gz,617,675,796,592,670.0
swing18_std_Ay,689,510,759,727,671.25
swing21_std_Gz,761,571,594,759,671.25
swing24_max_Gy,620,690,810,573,673.25
swing6_max_Gy,607,720,728,643,674.5
swing15_std_Gz,696,558,657,788,674.75
swing10_min_Gx,824,735,713,434,676.5
swing12_min_Gz,653,747,679,647,681.5
swing6_median_Ax,583,692,681,778,683.5
swing14_max_Gy,492,812,654,779,684.25
swing16_max_Gy,422,696,792,827,684.25
swing11_max_Gx,797,712,593,640,685.5
swing25_max_Gz,631,810,712,596,687.25
swing17_median_Gy,651,625,664,810,687.5
swing16_std_Gz,694,612,620,825,687.75
swing17_median_Ay,662,642,637,820,690.25
swing5_max_Gz,584,714,720,748,691.5
swing7_max_Gz,529,818,735,690,693.0
swing12_max_Gz,655,655,807,660,694.25
swing12_mean_Gx,684,728,750,626,697.0
swing19_rms_Ay,799,503,753,735,697.5
swing19_std_Ay,803,678,575,737,698.25
swing22_max_Gz,641,771,771,611,698.5
swing9_max_Gy,646,775,656,719,699.0
swing12_max_Gx,686,709,791,623,702.25
swing24_max_Gz,616,827,797,581,705.25
swing16_std_Gy,721,646,626,828,705.25
swing20_max_Gz,760,768,780,528,709.0
swing5_max_Gy,600,782,686,776,711.0
swing22_min_Gz,647,811,781,610,712.25
swing16_rms_Gy,719,705,631,826,720.25
swing19_std_Gz,807,659,688,729,720.75
swing11_max_Gz,740,807,709,635,722.75
swing11_min_Gx,796,748,707,641,723.0
swing11_min_Gz,786,817,678,636,729.25
swing15_rms_Gz,716,608,823,785,733.0
swing11_max_Gy,804,777,714,638,733.25
swing14_min_Gz,563,784,794,801,735.5
swing13_max_Gz,734,753,800,655,735.5
swing15_max_Gy,698,628,826,790,735.5
swing22_max_Gy,766,826,785,568,736.25
swing10_max_Gz,829,730,710,704,743.25
swing8_min_Gz,776,788,741,675,745.0
swing8_max_Gy,771,809,738,678,749.0
swing18_max_Gz,674,824,755,744,749.25
swing16_rms_Ay,731,650,813,804,749.5
swing18_min_Gz,675,828,756,745,751.0
swing21_min_Gz,741,760,773,758,758.0
swing9_max_Gz,753,823,747,715,759.5
swing17_max_Gz,670,829,761,780,760.0
swing16_mean_Gx,830,552,830,830,760.5
swing17_min_Gz,669,804,762,808,760.75
swing20_max_Gy,809,796,674,772,762.75
swing15_std_Ay,711,738,822,795,766.5
swing10_min_Gz,828,830,706,705,767.25
swing19_min_Gz,787,785,787,728,771.75
swing19_max_Gy,790,800,770,732,773.0
swing21_max_Gz,762,773,801,757,773.25
swing14_max_Gz,748,759,793,800,775.0
swing16_max_Gz,692,816,768,824,775.0
swing15_max_Gz,695,822,824,786,781.75
swing15_min_Gz,715,801,825,787,782.0
swing20_min_Gz,784,795,782,771,783.0
swing15_min_Gx,703,825,827,793,787.0
