,0
mode,66
segment8_Az_median,53
segment20_Ax_mean,39
segment7_Ax_mean,38
segment1_Az_mean,36
segment24_Az_std,36
segment0_Ax_mean,36
segment12_Az_median,36
segment13_Az_median,35
segment12_Ax_mean,33
segment20_Az_std,32
segment17_Ax_mean,32
segment23_Gx_median,31
segment8_Gz_mean,31
segment18_Ax_mean,30
segment0_Ax_median,30
segment16_Gz_median,29
segment12_Az_std,29
segment14_Az_std,29
segment1_Az_median,28
segment22_Az_std,28
segment26_Ax_mean,27
segment26_Gz_std,27
segment25_Az_median,26
segment0_Ay_std,26
segment6_Gz_median,26
segment5_Az_median,25
segment18_Az_std,25
segment17_Az_std,25
segment0_Ax_std,25
segment3_Az_median,25
segment14_Gx_std,25
segment21_Gz_median,24
segment7_Az_std,24
segment14_Az_median,24
segment26_Ay_mean,24
segment7_Ay_median,24
segment19_Ax_mean,24
segment0_Ay_mean,24
segment22_Gy_mean,23
segment20_Gx_median,22
segment21_Ax_mean,22
segment12_Ax_std,22
segment4_Az_median,22
segment2_Az_median,21
segment23_Ax_std,21
segment16_Ay_mean,21
segment19_Gx_median,20
segment13_Ax_std,20
segment9_Az_std,20
segment23_Ax_mean,19
segment21_Az_median,19
segment13_Gy_std,19
segment3_Gz_median,19
segment11_Az_median,19
segment26_Gy_std,19
segment19_Az_median,19
segment9_Gz_mean,19
segment22_Gy_std,18
segment24_Gy_mean,18
segment0_Gz_median,18
segment26_Gy_median,18
segment21_Az_std,18
segment0_Gz_mean,18
segment21_Ay_mean,18
segment5_Az_std,18
segment16_Gy_std,17
segment0_Az_std,17
segment11_Gy_std,17
segment10_Ax_std,17
segment8_Az_std,17
segment16_Gx_median,17
segment0_Ay_median,16
segment1_Ax_mean,16
segment2_Ay_mean,16
segment12_Ay_median,16
segment17_Az_median,16
segment4_Az_std,16
segment26_Az_median,16
segment10_Az_median,15
segment26_Az_std,15
segment6_Ax_std,15
segment1_Ax_std,15
segment21_Ax_std,15
segment16_Ax_mean,15
segment16_Az_std,15
segment26_Gz_median,15
segment23_Ax_median,15
segment24_Az_mean,14
segment21_Az_mean,14
segment17_Az_mean,14
segment20_Gz_median,14
segment26_Ax_median,14
segment9_Ax_mean,14
segment7_Gz_median,14
segment16_Ax_std,14
segment20_Az_median,14
segment3_Ay_mean,14
segment8_Ax_std,14
segment0_Gz_std,14
segment14_Gy_std,13
segment13_Ay_std,13
segment1_Gx_median,13
segment5_Gz_median,13
segment23_Ay_mean,13
segment23_Az_median,13
segment18_Gy_std,13
segment23_Gy_std,13
segment25_Ax_mean,13
segment20_Gy_std,13
segment14_Ay_median,13
segment8_Ax_mean,13
segment18_Ay_mean,13
segment6_Gz_mean,13
segment14_Ax_mean,13
segment5_Ay_mean,13
segment18_Gz_mean,12
segment18_Ax_std,12
segment12_Ay_std,12
segment25_Gy_mean,12
segment23_Gy_mean,12
segment2_Gz_mean,12
segment2_Az_mean,12
segment23_Gz_median,12
segment1_Gy_std,12
segment24_Ax_std,12
segment13_Ay_mean,12
segment0_Az_median,12
segment24_Ay_median,12
segment14_Gy_mean,12
segment6_Gy_median,12
segment11_Az_std,12
segment18_Gy_mean,12
segment17_Gy_mean,12
segment25_Az_std,12
segment2_Gx_median,12
segment17_Ay_std,12
segment13_Ax_median,12
segment19_Gy_mean,12
segment24_Az_median,12
segment4_Gx_median,11
segment1_Az_std,11
segment4_Ax_std,11
segment13_Ax_mean,11
segment17_Ax_std,11
segment13_Az_std,11
segment18_Az_median,11
segment5_Ay_std,11
segment3_Ax_std,11
segment22_Gz_mean,11
segment7_Gx_std,11
segment19_Ay_mean,11
segment9_Gx_median,11
segment10_Ay_std,11
segment25_Ay_std,11
segment24_Gz_std,11
segment23_Az_std,11
segment20_Ay_mean,11
segment12_Az_mean,11
segment0_Gx_mean,11
segment2_Az_std,10
segment6_Gx_std,10
segment15_Gy_std,10
segment17_Gy_std,10
segment21_Gy_mean,10
segment25_Ay_median,10
segment11_Gy_mean,10
segment15_Az_std,10
segment16_Az_median,10
segment10_Az_mean,10
segment4_Ax_mean,10
segment9_Gx_mean,10
segment16_Ax_median,10
segment19_Gz_median,10
segment19_Ax_std,10
segment15_Ax_mean,10
segment15_Ay_mean,10
segment18_Gz_median,10
segment15_Gy_median,10
