,0
segment8_Ay_max,6
segment7_Az_median,6
segment3_Az_min,6
segment3_Gx_max,6
segment5_Gz_median,6
segment8_Ax_max,6
segment3_Gy_min,6
segment3_Ax_min,6
segment3_Gz_mean,6
segment4_Ax_std,6
segment5_Az_mean,6
segment5_Ay_min,6
segment25_Gy_min,6
segment4_Gx_std,6
segment7_Gy_min,6
segment6_Az_max,6
segment4_Gx_median,6
segment2_Gy_min,6
segment25_Ay_min,6
segment2_Gy_std,6
segment2_Gx_median,6
segment2_Gy_median,6
segment6_Gy_median,6
segment25_Ay_mean,6
segment0_Ax_max,6
segment25_Ax_std,6
segment26_Az_min,6
segment26_Ay_median,6
segment15_Ax_max,5
segment25_Gx_max,5
segment5_Ax_min,5
segment8_Gy_max,5
segment14_Gz_mean,5
segment22_Gx_std,5
segment23_Gy_min,5
segment6_Gx_std,5
segment14_Az_mean,5
segment23_Az_mean,5
segment1_Ay_median,5
segment1_Ay_max,5
segment6_Ax_mean,5
segment6_Ax_min,5
segment23_Ax_median,5
segment15_Az_min,5
segment23_Az_max,5
segment6_Gy_mean,5
segment13_Ay_std,5
segment13_Ay_min,5
segment22_Ax_mean,5
segment15_Gx_std,5
segment19_Ax_min,5
segment2_Gx_std,5
segment20_Gx_std,5
segment26_Gz_median,5
segment2_Gz_mean,5
segment19_Gz_mean,5
segment19_Gy_median,5
segment19_Az_max,5
segment19_Az_min,5
segment3_Ax_std,5
segment21_Ay_median,5
segment19_Ay_median,5
segment21_Az_mean,5
segment19_Ay_mean,5
segment3_Ax_median,5
segment16_Ax_min,5
segment3_Ay_mean,5
segment18_Gz_mean,5
segment18_Ay_median,5
segment21_Gx_median,5
segment17_Az_max,5
segment17_Az_min,5
segment0_Gy_std,5
segment11_Gy_median,5
segment22_Ax_min,5
segment16_Az_min,5
segment0_Gz_min,5
segment16_Ay_min,5
segment2_Ay_mean,5
segment1_Gz_median,5
segment26_Gy_std,5
segment20_Gz_median,5
segment8_Gx_min,5
segment8_Az_min,5
segment9_Ay_mean,5
segment11_Az_max,5
segment7_Gy_mean,5
segment7_Az_mean,5
segment7_Ay_min,5
segment9_Ax_median,5
segment10_Ay_mean,5
segment10_Az_max,5
segment10_Ay_std,4
segment21_Gx_std,4
segment16_Gz_mean,4
segment18_Gx_median,4
segment3_Az_max,4
segment23_Ay_min,4
segment6_Ay_median,4
segment16_Gy_mean,4
segment25_Gy_std,4
segment3_Ay_std,4
segment9_Gy_min,4
segment15_Ay_mean,4
segment3_Ax_max,4
segment22_Ax_median,4
segment17_Ax_std,4
segment11_Ax_std,4
segment2_Ay_min,4
segment7_Gz_std,4
segment17_Ay_min,4
segment17_Gy_std,4
segment25_Gx_std,4
segment17_Gy_min,4
segment14_Ay_median,4
segment17_Gy_median,4
segment24_Gy_std,4
segment7_Gx_std,4
segment0_Gx_median,4
segment14_Gy_mean,4
segment14_Ax_std,4
segment14_Ax_mean,4
segment18_Ay_mean,4
segment4_Ax_min,4
segment15_Ay_std,4
segment19_Ay_std,4
segment13_Ax_min,4
segment1_Gy_std,4
segment1_Az_min,4
segment11_Az_min,4
segment4_Gy_median,4
segment9_Ax_max,4
segment23_Gy_mean,4
segment26_Az_mean,4
segment11_Gx_min,4
segment1_Gz_max,4
segment8_Gx_median,4
segment20_Ax_max,4
segment23_Gy_median,4
segment8_Gy_std,4
segment15_Gz_median,4
segment20_Gy_mean,4
segment4_Gy_mean,4
segment20_Gy_min,4
segment20_Gz_mean,4
segment5_Gx_std,4
segment10_Az_min,4
segment17_Gx_std,4
segment15_Ay_min,4
segment9_Ay_std,4
segment25_Az_mean,4
segment0_Ax_min,4
segment24_Ay_mean,4
segment10_Ay_max,4
segment24_Ax_mean,4
segment17_Ay_mean,3
segment22_Az_mean,3
segment4_Ay_median,3
segment4_Az_mean,3
segment22_Ay_min,3
segment4_Ax_max,3
segment16_Ax_max,3
segment16_Az_mean,3
segment10_Ay_min,3
segment10_Ay_median,3
