,0
mode,68
swing9_median_az,43
swing13_median_az,43
swing14_median_az,41
swing22_max_ay,40
swing24_rms_ax,39
swing9_mean_gz,39
swing6_median_az,34
swing18_rms_ax,30
swing21_median_az,29
swing21_mean_ax,29
swing19_rms_ax,28
swing17_median_gz,26
swing22_rms_ax,26
swing13_mean_ax,25
swing27_mean_ay,24
swing23_mean_gy,24
swing18_median_az,24
swing10_rms_ax,23
swing12_mean_gy,23
swing8_rms_az,23
swing25_rms_az,23
swing23_rms_az,22
swing17_rms_ax,21
swing22_median_az,21
swing8_mean_ax,21
swing27_median_gy,20
swing12_min_gy,20
swing5_median_az,20
swing13_rms_ax,20
swing19_mean_ax,20
swing7_rms_ax,20
swing22_median_gz,20
swing21_std_az,19
swing24_median_gx,19
swing10_mean_gz,19
swing18_std_az,18
swing11_median_az,18
swing12_std_az,18
swing15_rms_az,18
swing27_mean_gz,18
swing15_median_az,17
swing26_median_az,17
swing27_rms_az,16
swing10_max_ay,16
swing24_median_az,16
swing20_median_az,16
swing24_max_ay,16
swing20_mean_ax,16
swing13_rms_az,16
swing12_rms_ax,15
swing27_max_ax,15
swing11_mean_ax,15
swing27_max_ay,15
swing27_median_ay,15
swing27_std_az,15
swing23_std_gy,15
swing23_median_az,15
swing23_min_gy,14
swing23_max_ay,14
swing22_std_az,14
swing21_rms_az,14
swing14_median_gx,14
swing19_max_ay,14
swing17_std_gy,14
swing20_median_gx,14
swing27_median_az,14
swing25_mean_gy,14
swing25_std_az,14
test_time,14
swing5_max_ay,14
swing24_min_ax,13
swing25_min_gy,13
swing8_max_ay,13
swing17_std_az,13
swing24_min_ay,13
swing9_mean_gy,13
swing18_mean_az,12
swing26_rms_ax,12
swing22_mean_ay,12
swing17_median_az,12
swing12_max_ax,12
swing8_median_ay,12
swing26_max_ay,12
swing27_mean_ax,12
swing10_median_az,11
swing18_mean_ax,11
swing8_max_ax,11
swing5_mean_gz,11
swing12_median_az,11
swing17_mean_ay,11
swing10_std_az,11
swing7_median_gz,11
swing15_std_az,11
swing19_median_az,11
swing19_min_az,11
swing18_mean_gy,11
swing12_mean_ax,11
swing15_std_gx,11
swing25_mean_az,11
swing6_min_gy,11
swing21_std_gy,11
swing24_std_gy,11
swing19_rms_az,11
swing13_max_ay,10
swing8_median_az,10
swing13_std_az,10
swing13_mean_az,10
swing26_mean_ax,10
swing25_max_ay,10
swing6_rms_ax,10
swing8_rms_gz,10
swing14_std_ax,10
swing8_median_gz,10
swing6_mean_ay,10
swing22_rms_gz,10
swing21_median_gz,10
swing20_median_gz,10
swing5_mean_ax,10
swing16_median_az,10
swing6_std_gx,10
swing20_max_ay,9
swing19_median_gz,9
swing20_mean_az,9
swing5_std_gx,9
swing14_rms_ax,9
swing5_std_az,9
swing19_std_az,9
swing9_max_ax,9
swing20_rms_ax,9
swing20_min_gy,9
swing18_max_gx,9
swing11_max_az,9
swing14_mean_ax,9
swing18_max_ay,9
swing18_std_ax,9
swing12_std_gy,9
swing17_median_gx,9
swing16_rms_ax,9
swing16_min_az,9
swing16_std_ax,9
swing27_max_az,9
swing6_max_az,9
swing14_median_gz,9
swing6_max_ax,9
swing22_median_gy,9
swing9_mean_ax,9
swing7_mean_az,9
swing8_mean_az,9
swing7_mean_gz,9
swing7_max_ax,9
swing6_median_gz,9
swing22_min_ax,8
swing16_rms_gz,8
swing11_rms_ax,8
swing8_min_az,8
swing6_min_az,8
swing12_max_ay,8
swing25_median_az,8
swing13_rms_gx,8
swing14_max_ay,8
swing25_std_gz,8
swing5_rms_ax,8
swing5_mean_gy,8
swing9_mean_az,8
swing16_mean_gz,8
swing7_median_az,8
swing6_std_az,8
swing5_rms_gx,8
swing19_mean_gy,8
swing8_rms_gx,8
swing19_min_gy,8
swing27_median_gx,8
swing19_median_gx,8
swing20_mean_gy,8
swing23_median_gy,8
swing5_median_gz,8
swing5_median_gy,8
swing21_mean_gz,8
swing22_min_ay,8
swing5_min_gx,8
swing8_rms_ax,8
swing16_min_ax,8
swing9_median_gz,8
swing15_median_gz,7
swing14_mean_gz,7
swing10_mean_gx,7
swing16_rms_ay,7
swing16_median_gy,7
swing17_mean_ax,7
swing17_rms_az,7
swing18_mean_gz,7
swing11_median_gx,7
swing24_median_gz,7
swing27_median_ax,7
swing26_max_gx,7
swing9_min_az,7
swing19_mean_gz,7
swing26_min_az,7
swing6_mean_ax,7
swing16_max_ax,7
swing12_median_gx,7
swing8_min_gy,7
swing9_min_gz,7
swing8_std_az,7
swing13_median_ay,7
swing8_mean_gy,7
swing14_min_ax,7
swing25_rms_ax,7
swing9_rms_gy,7
swing6_max_ay,7
swing15_mean_az,7
swing5_max_ax,7
swing15_min_gy,7
swing13_max_ax,7
swing8_std_gy,7
swing13_std_ax,7
swing15_median_ax,7
swing16_mean_ay,7
swing20_mean_ay,7
swing8_mean_gz,7
