,0
segment26_Ax_mean,57
mode,56
segment7_Az_std,45
segment17_Az_mean,44
segment14_Gx_std,43
segment25_Ax_mean,42
segment7_Ax_mean,42
segment0_Az_median,40
segment25_Az_median,38
segment23_Az_median,38
segment0_Gz_mean,37
segment7_Az_median,35
segment7_Ay_median,35
segment14_Az_median,33
segment18_Az_median,33
segment19_Az_median,33
segment10_Az_median,32
segment15_Az_median,32
segment5_Az_median,31
segment2_Az_median,31
segment1_Az_median,31
segment14_Az_std,31
segment22_Az_std,31
segment16_Gz_mean,31
segment13_Az_median,31
segment18_Ax_mean,30
segment12_Az_std,29
segment12_Az_median,29
segment21_Az_median,28
segment17_Ax_mean,28
segment1_Ax_mean,27
segment3_Az_median,27
segment20_Az_std,27
segment8_Az_median,27
segment0_Ax_median,26
segment6_Gz_mean,26
segment0_Gz_std,25
segment0_Ay_mean,25
segment9_Gz_mean,25
segment18_Az_std,24
segment26_Az_std,24
segment21_Ay_mean,24
segment17_Az_std,23
segment8_Gz_mean,23
segment2_Gz_mean,22
segment4_Az_std,22
segment26_Az_median,22
segment0_Ax_mean,21
segment26_Ay_mean,21
segment12_Ax_std,21
segment11_Az_median,21
segment18_Gz_mean,20
segment19_Az_std,20
segment3_Ax_mean,20
segment12_Ax_mean,20
segment14_Gz_median,20
segment0_Ay_median,20
segment15_Az_std,20
segment4_Gx_std,20
segment20_Az_mean,20
segment21_Az_std,20
segment3_Gz_mean,19
segment18_Az_mean,19
segment1_Az_mean,19
segment21_Gz_median,19
segment16_Gx_std,19
segment3_Gz_median,19
segment9_Gz_median,19
segment8_Ax_mean,19
segment17_Gz_mean,18
segment8_Ax_std,18
segment3_Gy_mean,18
segment1_Ax_std,18
segment9_Az_std,18
segment11_Az_std,18
segment24_Az_std,18
segment9_Ax_mean,18
segment7_Gx_std,17
segment16_Az_std,17
segment22_Az_median,17
segment18_Gz_median,17
segment16_Ax_mean,17
segment1_Az_std,17
segment16_Ax_std,17
segment6_Ax_mean,16
segment15_Az_mean,16
segment20_Ax_mean,16
segment15_Ax_mean,16
segment2_Gz_median,16
segment22_Gz_median,16
segment5_Ax_mean,16
segment11_Ay_median,16
segment23_Az_std,16
segment14_Ay_median,16
segment4_Gz_mean,16
segment4_Gz_median,15
segment21_Ax_mean,15
segment17_Az_median,15
segment18_Gx_std,14
segment14_Gz_mean,14
segment19_Gz_mean,14
segment20_Ay_median,14
segment1_Gx_std,14
segment12_Gz_mean,14
segment26_Az_mean,14
segment11_Az_mean,14
segment24_Ay_median,14
segment0_Gx_std,13
segment5_Gy_mean,13
segment25_Ax_std,13
segment1_Gz_mean,13
segment9_Az_median,13
segment15_Gz_mean,13
segment11_Ax_mean,13
segment21_Gz_mean,13
segment20_Az_median,13
segment4_Az_median,13
segment26_Gy_median,13
segment21_Ax_std,13
segment2_Gx_std,12
segment1_Ay_mean,12
segment20_Gz_mean,12
segment25_Ay_mean,12
segment5_Az_std,12
segment6_Gx_std,12
segment0_Ax_std,12
segment10_Ax_std,12
segment19_Ax_mean,12
segment9_Ax_std,12
segment12_Gz_std,12
segment17_Ax_std,12
segment11_Gz_mean,12
segment15_Gx_std,12
segment6_Az_std,11
segment21_Ay_median,11
segment25_Gz_median,11
segment25_Gx_std,11
segment17_Ay_std,11
segment2_Az_std,11
segment15_Ay_std,11
segment26_Ay_median,11
segment14_Ax_std,11
segment22_Gz_mean,11
segment22_Gy_mean,11
segment17_Ay_median,11
segment17_Ay_mean,11
segment13_Ax_std,11
segment23_Gx_median,11
segment21_Gy_mean,11
segment22_Gx_std,11
segment6_Gy_mean,10
segment16_Az_median,10
segment16_Gz_median,10
segment23_Ay_median,10
segment6_Ay_mean,10
segment11_Ax_median,10
segment0_Az_std,10
segment5_Ay_mean,10
segment4_Az_mean,10
segment23_Gx_std,10
segment3_Ay_median,10
segment22_Gy_std,10
segment3_Az_std,10
segment17_Gz_std,10
segment20_Gz_median,10
segment26_Ax_median,9
segment10_Ay_median,9
segment19_Gx_median,9
segment19_Gz_median,9
segment24_Az_median,9
segment23_Gz_median,9
segment6_Az_median,9
segment22_Gx_median,9
segment4_Ax_mean,9
segment12_Gz_median,9
segment14_Ay_mean,9
segment25_Az_std,9
segment15_Ax_std,9
segment13_Ay_mean,9
segment13_Gx_std,9
segment10_Gz_mean,9
segment8_Az_std,9
segment10_Ax_mean,9
segment6_Ax_std,9
segment23_Ax_mean,9
segment26_Gy_std,9
segment5_Az_mean,9
segment3_Az_mean,9
segment26_Gx_std,9
segment7_Az_mean,8
segment21_Ay_std,8
segment13_Ay_median,8
segment11_Gx_median,8
segment7_Gz_median,8
segment19_Gy_std,8
segment19_Ay_median,8
segment18_Gy_median,8
segment16_Ay_median,8
segment10_Az_mean,8
segment8_Gy_mean,8
segment1_Gz_median,8
segment23_Gy_std,8
segment23_Gz_std,8
segment5_Gz_mean,8
segment14_Ax_mean,8
segment2_Ax_median,8
segment6_Gz_median,8
segment8_Gz_std,8
segment0_Gx_median,8
segment3_Gx_std,8
segment24_Gz_mean,8
segment5_Ax_std,8
segment5_Gx_std,8
segment24_Ax_mean,8
segment0_Gy_mean,8
segment23_Az_mean,8
segment12_Ay_std,8
segment11_Ax_std,8
segment0_Az_mean,8
segment5_Gy_median,8
segment12_Gx_std,8
segment18_Ay_mean,8
segment13_Gy_median,7
segment0_Ay_std,7
segment3_Ax_std,7
segment18_Ax_std,7
segment8_Gy_std,7
segment25_Gy_median,7
segment7_Gy_std,7
segment24_Gz_std,7
segment24_Gy_std,7
segment24_Gx_std,7
segment17_Gy_std,7
segment23_Gy_median,7
segment8_Gx_std,7
segment26_Gz_std,7
segment14_Az_mean,7
segment20_Ay_mean,7
segment18_Gy_mean,7
segment17_Gx_mean,7
segment7_Ax_median,7
segment12_Az_mean,7
segment25_Gx_mean,7
segment3_Ay_mean,7
segment5_Gz_median,7
segment7_Gz_mean,7
segment10_Gz_median,7
segment16_Ay_mean,7
segment9_Ay_median,7
segment0_Gz_median,7
segment15_Ay_mean,7
segment13_Ay_std,6
segment3_Gx_mean,6
segment14_Gy_mean,6
segment10_Ay_std,6
segment12_Ay_median,6
segment9_Ay_std,6
segment21_Az_mean,6
segment22_Ax_mean,6
segment16_Ay_std,6
segment5_Ay_std,6
segment6_Gy_median,6
segment6_Ay_median,6
segment2_Ax_std,6
segment1_Gz_std,6
segment2_Ay_median,6
segment2_Gx_median,6
segment22_Ay_mean,6
segment16_Az_mean,6
segment21_Gx_std,6
segment12_Ay_mean,6
segment12_Gx_median,6
segment6_Az_mean,6
segment7_Ay_mean,6
segment24_Ax_std,6
segment10_Gx_median,6
segment23_Ax_std,6
segment13_Az_mean,6
segment11_Ay_mean,6
segment20_Gx_std,6
segment4_Ay_median,6
segment15_Gz_median,6
segment18_Gz_std,6
segment9_Gx_median,6
segment19_Ay_std,5
segment25_Gz_mean,5
segment12_Gy_mean,5
segment26_Gx_median,5
segment26_Ay_std,5
segment26_Gz_median,5
segment1_Gx_median,5
segment26_Ax_std,5
segment4_Ax_median,5
segment16_Gx_mean,5
segment2_Ay_std,5
segment8_Az_mean,5
segment23_Ay_std,5
segment19_Gz_std,5
segment18_Gy_std,5
segment25_Az_mean,5
segment4_Gy_std,5
segment24_Gx_mean,5
segment10_Gy_mean,5
segment24_Ay_mean,5
segment6_Gz_std,5
segment7_Ax_std,5
segment19_Az_mean,5
segment19_Ax_std,5
segment13_Gz_mean,5
segment23_Gz_mean,5
segment20_Ax_median,5
segment8_Ay_median,5
segment4_Ay_mean,5
segment22_Ay_median,5
segment1_Gy_mean,5
segment8_Ax_median,5
segment20_Gx_median,5
segment2_Az_mean,5
segment10_Gy_median,5
segment14_Gy_median,5
segment2_Ax_mean,5
segment22_Gy_median,5
segment5_Ay_median,5
segment24_Az_mean,4
segment15_Gx_median,4
segment21_Ax_median,4
segment17_Ax_median,4
segment17_Gx_median,4
segment16_Gy_median,4
segment16_Gx_median,4
segment3_Gz_std,4
segment16_Gy_std,4
segment23_Ay_mean,4
segment15_Gy_std,4
segment22_Ax_median,4
segment22_Gx_mean,4
segment22_Az_mean,4
segment18_Ax_median,4
segment8_Ay_std,4
segment19_Gy_median,4
segment18_Gx_median,4
segment8_Gx_median,4
segment10_Gx_std,4
segment10_Gz_std,4
segment19_Ay_mean,4
segment9_Gy_median,4
segment13_Ax_mean,4
segment11_Gx_std,4
segment13_Gx_median,4
segment4_Gx_median,4
segment19_Gx_std,4
segment1_Gy_median,4
segment24_Ax_median,4
segment9_Gx_mean,4
segment2_Gx_mean,4
segment3_Gx_median,4
segment14_Gx_median,4
segment13_Gz_median,4
segment25_Ay_median,4
segment10_Ax_median,4
segment4_Gy_mean,4
segment11_Gy_median,4
segment20_Gy_std,4
segment1_Gy_std,4
segment13_Gy_std,3
segment1_Gx_mean,3
segment13_Gz_std,3
segment11_Gz_std,3
segment17_Gy_mean,3
segment5_Gx_mean,3
segment18_Gx_mean,3
segment16_Gy_mean,3
segment13_Az_std,3
segment24_Ay_std,3
segment14_Ay_std,3
segment12_Gy_std,3
segment15_Gy_median,3
segment14_Gy_std,3
segment8_Gx_mean,3
segment15_Ax_median,3
segment12_Gx_mean,3
segment11_Gy_std,3
segment20_Gz_std,3
segment17_Gx_std,3
segment13_Gx_mean,3
segment13_Gy_mean,3
segment9_Ax_median,3
segment14_Gx_mean,3
segment22_Ay_std,3
segment17_Gy_median,3
segment10_Ay_mean,3
segment17_Gz_median,3
segment15_Gy_mean,3
segment22_Gz_std,3
segment9_Az_mean,3
segment19_Ax_median,3
segment2_Gz_std,3
