feature,rf_rank,xgb_rank,mean_rank
segment14_Gz_max,804,630,717.0
segment12_Gy_max,681,755,718.0
segment2_Gz_max,794,643,718.5
segment22_Gz_max,773,668,720.5
segment12_Gz_min,699,757,728.0
segment19_Gz_min,743,715,729.0
segment11_Gz_min,692,772,732.0
segment21_Gz_max,797,669,733.0
segment22_Gy_median,784,683,733.5
segment1_Gx_max,673,804,738.5
segment22_Gz_min,796,684,740.0
segment22_Gy_max,800,682,741.0
segment25_Gy_max,762,723,742.5
segment4_Gz_min,720,767,743.5
segment26_Gz_max,769,718,743.5
segment24_Gz_min,783,710,746.5
segment24_Gz_max,789,708,748.5
segment23_Gx_min,697,801,749.0
segment10_Gz_min,765,734,749.5
segment20_Gz_max,714,786,750.0
segment20_Gx_min,805,696,750.5
segment11_Gx_min,764,744,754.0
segment19_Gz_max,798,714,756.0
segment10_Gz_max,779,735,757.0
segment23_Gz_min,721,793,757.0
segment5_Gz_min,780,737,758.5
segment5_Gz_max,790,736,763.0
segment10_Gy_max,795,733,764.0
segment4_Gz_max,763,766,764.5
