feature,rank_xgb,rank_rf,rank_lgbm,rank_cat,mean_rank
swing18_std_Gx,728.5,330.0,372.0,481.0,477.875
swing19_std_Gx,728.5,299.0,372.0,519.0,479.625
swing7_rms_Gy,728.5,529.0,579.0,88.0,481.125
swing4_rms_Gz,285.0,550.0,372.0,717.5,481.125
swing12_std_Gy,446.0,643.0,372.0,468.0,482.25
swing11_std_Ax,728.5,240.0,579.0,394.0,485.375
swing5_rms_Gz,361.0,291.0,579.0,717.5,487.125
swing26_min_Gy,38.0,739.0,463.5,717.5,489.5
swing24_std_Gz,189.0,473.0,579.0,717.5,489.625
swing9_median_Gy,728.5,352.0,160.5,717.5,489.625
swing20_mean_Gx,523.0,347.0,372.0,717.5,489.875
swing13_median_Ay,495.0,608.0,139.5,717.5,490.0
swing17_min_Ax,319.0,765.0,160.5,717.5,490.5
swing15_rms_Gx,728.5,212.0,704.0,319.0,490.875
swing5_min_Ax,728.5,736.0,75.0,426.0,491.375
swing7_std_Ax,413.0,263.0,579.0,717.5,493.125
swing10_median_Ay,251.0,752.0,256.0,717.5,494.125
swing21_rms_Gx,728.5,359.0,372.0,518.0,494.375
swing10_median_Ax,207.0,684.0,372.0,717.5,495.125
swing11_mean_Gy,526.0,428.0,834.5,195.0,495.875
swing21_std_Ay,314.0,381.0,579.0,717.5,497.875
swing14_min_Ax,728.5,627.0,215.0,422.0,498.125
swing12_max_Gx,728.5,208.0,579.0,478.0,498.375
swing6_rms_Gz,471.0,528.0,463.5,531.0,498.375
swing6_median_Gy,365.0,449.0,463.5,717.5,498.75
swing24_min_Az,387.0,634.0,579.0,398.0,499.5
swing12_median_Ax,354.0,779.0,704.0,164.0,500.25
swing7_rms_Gz,540.0,516.0,579.0,366.0,500.25
swing5_min_Az,519.0,511.0,256.0,717.5,500.875
swing22_median_Ay,256.0,327.0,704.0,717.5,501.125
swing3_min_Gy,254.0,571.0,463.5,717.5,501.5
swing16_min_Ax,291.0,691.0,307.5,717.5,501.75
swing24_std_Gy,728.5,404.0,463.5,413.0,502.25
swing10_std_Ax,728.5,360.0,579.0,344.0,502.875
swing23_min_Ay,233.0,742.0,579.0,458.0,503.0
swing3_rms_Ay,728.5,422.0,463.5,400.0,503.5
swing6_rms_Gy,489.0,874.0,215.0,437.0,503.75
swing11_mean_Gx,728.5,283.0,704.0,300.0,503.875
swing4_std_Ay,333.0,505.0,463.5,717.5,504.75
swing18_rms_Gx,728.5,476.0,704.0,111.0,504.875
swing16_min_Az,451.0,392.0,463.5,717.5,506.0
swing16_median_Ax,445.0,710.0,463.5,406.0,506.125
swing2_min_Az,728.5,656.0,372.0,270.0,506.625
swing17_median_Ax,533.0,658.0,307.5,530.0,507.125
swing22_rms_Gx,728.5,321.0,463.5,520.0,508.25
swing8_min_Ax,502.0,235.0,579.0,717.5,508.375
swing6_std_Gx,728.5,341.0,256.0,717.5,510.75
swing24_mean_Gy,384.0,518.0,704.0,442.0,512.0
swing14_min_Gy,498.0,578.0,256.0,717.5,512.375
swing18_mean_Gy,432.0,445.0,704.0,469.0,512.5
swing3_min_Ax,480.0,280.0,579.0,717.5,514.125
swing17_median_Gx,728.5,530.0,463.5,336.0,514.5
swing4_std_Gy,404.0,332.0,834.5,491.0,515.375
swing15_std_Gx,728.5,284.0,579.0,470.0,515.375
swing5_max_Az,441.0,616.0,704.0,301.0,515.5
swing5_min_Gy,380.0,507.0,463.5,717.5,517.0
swing24_median_Gx,728.5,490.0,463.5,386.0,517.0
swing15_median_Gx,728.5,151.0,704.0,485.0,517.125
swing8_std_Gy,318.0,600.0,704.0,447.0,517.25
swing6_mean_Gx,728.5,567.0,463.5,310.0,517.25
swing21_min_Gy,544.0,717.0,372.0,439.0,518.0
swing21_std_Gx,552.0,690.0,463.5,368.0,518.375
swing18_median_Gy,302.0,659.0,834.5,278.0,518.375
swing11_median_Gy,728.5,632.0,372.0,347.0,519.875
swing9_std_Gx,728.5,329.0,307.5,717.5,520.625
swing16_median_Gy,728.5,774.0,463.5,117.0,520.75
swing25_rms_Gy,286.0,764.0,579.0,455.0,521.0
swing10_min_Ax,728.5,625.0,372.0,359.0,521.125
swing20_min_Gy,504.0,497.0,372.0,717.5,522.625
swing26_mean_Gx,455.0,637.0,579.0,421.0,523.0
swing24_median_Ay,728.5,403.0,463.5,498.0,523.25
swing6_max_Gx,476.0,197.0,704.0,717.5,523.625
swing25_max_Az,728.5,542.0,307.5,517.0,523.75
swing26_max_Az,728.5,492.0,579.0,297.0,524.125
swing25_min_Az,437.0,365.0,834.5,460.0,524.125
swing21_min_Ay,728.5,395.0,256.0,717.5,524.25
swing24_rms_Gz,728.5,282.0,372.0,717.5,525.0
swing25_std_Ax,728.5,241.0,704.0,430.0,525.875
swing2_mean_Ax,358.0,566.0,463.5,717.5,526.25
swing14_std_Ax,728.5,432.0,463.5,482.0,526.5
swing2_median_Gx,461.0,350.0,579.0,717.5,526.875
swing8_min_Gx,448.0,880.0,579.0,202.0,527.25
swing12_max_Az,728.5,499.0,579.0,303.0,527.375
swing26_mean_Gz,728.5,314.0,704.0,365.0,527.875
swing7_mean_Gx,728.5,292.0,704.0,387.0,527.875
swing20_std_Gx,728.5,552.0,579.0,254.0,528.375
swing26_min_Ax,497.0,698.0,704.0,215.0,528.5
swing8_max_Az,266.0,669.0,463.5,717.5,529.0
swing6_min_Gy,508.0,338.0,834.5,438.0,529.625
swing22_mean_Ay,326.0,612.0,463.5,717.5,529.75
swing24_min_Ay,728.5,544.0,704.0,144.0,530.125
swing22_mean_Gy,425.0,401.0,579.0,717.5,530.625
swing22_std_Ax,728.5,369.0,307.5,717.5,530.625
swing11_std_Gy,374.0,453.0,579.0,717.5,530.875
swing10_rms_Ay,728.5,308.0,372.0,717.5,531.5
swing16_min_Gy,236.0,802.0,372.0,717.5,531.875
swing5_median_Ay,287.0,546.0,579.0,717.5,532.375
swing23_std_Gz,728.5,423.0,579.0,399.0,532.375
swing18_mean_Ay,439.0,394.0,579.0,717.5,532.375
swing19_max_Az,728.5,468.0,463.5,474.0,533.5
swing17_mean_Gx,728.5,767.0,579.0,60.0,533.625
swing3_std_Gz,728.5,631.0,579.0,197.0,533.875
swing18_std_Gz,153.0,564.0,704.0,717.5,534.625
swing18_rms_Ay,501.0,694.0,704.0,241.0,535.0
swing13_max_Az,728.5,535.0,160.5,717.5,535.375
swing4_min_Az,728.5,356.0,579.0,480.0,535.875
swing17_median_Gz,728.5,326.0,372.0,717.5,536.0
swing9_rms_Gx,728.5,444.0,256.0,717.5,536.5
swing23_max_Az,728.5,777.0,186.5,459.0,537.75
swing20_std_Ay,546.0,750.0,704.0,151.0,537.75
swing7_std_Ay,728.5,592.0,579.0,252.0,537.875
swing26_min_Az,235.0,498.0,704.0,717.5,538.625
swing3_std_Ay,426.0,548.0,463.5,717.5,538.75
swing4_rms_Gy,728.5,692.0,256.0,488.0,541.125
swing11_rms_Gx,728.5,228.0,704.0,507.0,541.875
swing20_median_Ay,391.0,480.0,579.0,717.5,541.875
swing17_rms_Az,531.0,87.0,834.5,717.5,542.5
swing18_median_Gx,728.5,419.0,307.5,717.5,543.125
swing8_max_Gx,728.5,487.0,463.5,496.0,543.75
swing8_mean_Gx,242.0,723.0,704.0,506.0,543.75
swing8_std_Ay,383.0,607.0,704.0,489.0,545.75
swing6_median_Ax,728.5,816.0,463.5,177.0,546.25
swing26_std_Gy,728.5,371.0,372.0,717.5,547.25
swing13_min_Ay,728.5,166.0,579.0,717.5,547.75
swing22_rms_Gz,728.5,340.0,704.0,423.0,548.875
swing16_rms_Gy,77.0,823.0,579.0,717.5,549.125
swing9_mean_Gy,370.0,532.0,579.0,717.5,549.625
swing11_rms_Ay,409.0,493.0,579.0,717.5,549.625
swing23_mean_Gx,170.0,733.0,579.0,717.5,549.875
swing13_max_Gx,728.5,652.0,704.0,116.0,550.125
swing26_rms_Gz,728.5,657.0,307.5,509.0,550.5
swing10_std_Gx,728.5,293.0,463.5,717.5,550.625
swing13_median_Ax,117.0,666.0,704.0,717.5,551.125
swing18_std_Ax,728.5,300.0,463.5,717.5,552.375
swing11_max_Az,728.5,729.0,579.0,187.0,555.875
swing18_min_Ay,222.0,705.0,579.0,717.5,555.875
swing10_std_Az,728.5,199.0,579.0,717.5,556.0
swing26_min_Ay,316.0,762.0,704.0,443.0,556.25
swing18_rms_Gy,728.5,409.0,372.0,717.5,556.75
swing23_rms_Gy,444.0,489.0,579.0,717.5,557.375
swing2_std_Gy,728.5,469.0,704.0,339.0,560.125
swing2_rms_Gx,728.5,543.0,256.0,717.5,561.25
swing6_max_Az,728.5,575.0,463.5,483.0,562.5
swing20_rms_Ay,516.0,800.0,834.5,103.0,563.375
swing26_median_Ax,164.0,793.0,579.0,717.5,563.375
swing16_max_Gx,728.5,229.0,579.0,717.5,563.5
swing17_rms_Ay,728.5,231.0,579.0,717.5,564.0
swing15_min_Gy,728.5,670.0,579.0,280.0,564.375
swing5_mean_Gx,89.0,620.0,834.5,717.5,565.25
swing22_std_Gx,728.5,239.0,579.0,717.5,566.0
swing13_rms_Gy,366.0,614.0,579.0,717.5,569.125
swing24_rms_Gx,728.5,254.0,579.0,717.5,569.75
swing12_min_Gx,149.0,882.0,834.5,414.0,569.875
swing22_std_Gy,728.5,747.0,372.0,440.0,571.875
swing2_mean_Gy,728.5,265.0,579.0,717.5,572.5
swing4_std_Ax,728.5,269.0,579.0,717.5,573.5
swing12_std_Gx,728.5,388.0,463.5,717.5,574.375
swing22_max_Az,728.5,390.0,463.5,717.5,574.875
swing5_min_Ay,728.5,478.0,704.0,390.0,575.125
swing17_median_Ay,328.0,677.0,579.0,717.5,575.375
swing21_median_Ax,162.0,588.0,834.5,717.5,575.5
swing14_mean_Gy,728.5,524.0,704.0,346.0,575.625
swing10_std_Gz,321.0,686.0,579.0,717.5,575.875
swing8_min_Gz,185.0,824.0,579.0,717.5,576.375
swing25_rms_Gx,728.5,286.0,579.0,717.5,577.75
swing10_min_Ay,728.5,533.0,579.0,472.0,578.125
swing2_std_Gz,296.0,828.0,704.0,486.0,578.5
swing14_max_Az,728.5,289.0,579.0,717.5,578.5
swing7_mean_Ay,728.5,294.0,579.0,717.5,579.75
swing2_mean_Gx,372.0,651.0,579.0,717.5,579.875
swing20_median_Gy,728.5,411.0,463.5,717.5,580.125
swing24_max_Az,479.0,663.0,463.5,717.5,580.75
swing9_mean_Ay,728.5,376.0,704.0,515.0,580.875
swing26_max_Gy,281.0,866.0,463.5,717.5,582.0
swing16_max_Az,511.0,716.0,579.0,522.0,582.0
swing7_min_Ay,728.5,307.0,579.0,717.5,583.0
swing19_median_Ax,259.0,778.0,579.0,717.5,583.375
swing17_min_Gy,542.0,611.0,463.5,717.5,583.5
swing4_min_Gy,300.0,738.0,579.0,717.5,583.625
swing14_median_Gy,336.0,577.0,704.0,717.5,583.625
swing24_std_Ax,728.5,186.0,704.0,717.5,584.0
swing4_min_Ax,728.5,429.0,463.5,717.5,584.625
swing5_median_Gx,728.5,623.0,704.0,284.0,584.875
swing18_min_Ax,728.5,649.0,256.0,717.5,587.75
swing21_rms_Gz,728.5,547.0,704.0,373.0,588.125
swing16_min_Gx,728.5,754.0,579.0,296.0,589.375
swing8_rms_Gx,535.0,417.0,704.0,717.5,593.375
swing3_mean_Gx,728.5,772.0,579.0,298.0,594.375
swing21_median_Gx,728.5,804.0,372.0,473.0,594.375
swing11_min_Ay,547.0,410.0,704.0,717.5,594.625
swing11_median_Gx,728.5,839.0,463.5,348.0,594.75
swing4_rms_Ay,728.5,661.0,463.5,526.0,594.75
swing2_rms_Ay,728.5,561.0,372.0,717.5,594.75
swing25_std_Gz,728.5,699.0,579.0,376.0,595.625
swing15_mean_Gx,728.5,759.0,579.0,316.0,595.625
swing21_rms_Gy,728.5,720.0,579.0,356.0,595.875
swing26_std_Ax,728.5,475.0,463.5,717.5,596.125
swing16_median_Ay,431.0,402.0,834.5,717.5,596.25
swing13_min_Az,728.5,671.0,463.5,523.0,596.5
swing12_median_Gy,728.5,655.0,579.0,425.0,596.875
swing23_std_Gy,728.5,479.0,463.5,717.5,597.125
swing25_min_Ay,728.5,584.0,372.0,717.5,600.5
swing21_min_Gx,728.5,840.0,463.5,371.0,600.75
swing9_std_Gy,728.5,799.0,372.0,505.0,601.125
swing24_mean_Gx,161.0,693.0,834.5,717.5,601.5
swing22_min_Ay,728.5,267.0,704.0,717.5,604.25
swing15_mean_Gy,728.5,421.0,834.5,434.0,604.5
swing12_min_Ay,728.5,602.0,372.0,717.5,605.0
swing9_rms_Gy,375.0,865.0,463.5,717.5,605.25
swing3_median_Ax,312.0,557.0,834.5,717.5,605.25
swing13_rms_Gz,728.5,679.0,704.0,322.0,608.375
swing17_std_Gz,500.0,844.0,372.0,717.5,608.375
swing15_rms_Ay,728.5,495.0,704.0,510.0,609.375
swing6_min_Ax,493.0,525.0,704.0,717.5,609.875
swing24_rms_Ay,506.0,514.0,704.0,717.5,610.375
swing13_std_Ax,728.5,420.0,579.0,717.5,611.25
swing11_min_Ax,728.5,454.0,834.5,429.0,611.5
swing2_std_Ax,728.5,540.0,463.5,717.5,612.375
swing25_std_Gy,460.0,811.0,463.5,717.5,613.0
swing17_std_Gy,483.0,551.0,704.0,717.5,613.875
swing3_min_Az,728.5,431.0,579.0,717.5,614.0
swing19_std_Ay,527.0,841.0,372.0,717.5,614.375
swing14_rms_Gz,728.5,618.0,834.5,283.0,616.0
swing11_rms_Gz,728.5,556.0,463.5,717.5,616.375
swing21_max_Az,534.0,753.0,463.5,717.5,617.0
swing3_median_Ay,524.0,523.0,704.0,717.5,617.125
swing24_max_Gy,406.0,803.0,834.5,433.0,619.125
swing4_max_Az,728.5,455.0,834.5,463.0,620.25
swing16_std_Ay,728.5,721.0,834.5,198.0,620.5
swing16_mean_Gx,545.0,519.0,704.0,717.5,621.375
swing3_max_Az,728.5,553.0,704.0,501.0,621.625
swing13_mean_Gy,728.5,463.0,579.0,717.5,622.0
swing25_rms_Ay,728.5,342.0,704.0,717.5,623.0
swing25_median_Gx,728.5,798.0,463.5,502.0,623.0
swing9_std_Ax,728.5,344.0,704.0,717.5,623.5
swing24_std_Gx,513.0,687.0,579.0,717.5,624.125
swing9_max_Gy,728.5,591.0,463.5,717.5,625.125
swing16_std_Gx,728.5,353.0,704.0,717.5,625.75
swing26_std_Ay,530.0,678.0,579.0,717.5,626.125
swing8_mean_Gy,728.5,481.0,579.0,717.5,626.5
swing9_max_Az,728.5,598.0,463.5,717.5,626.875
swing23_min_Gx,728.5,545.0,834.5,401.0,627.25
swing15_std_Gy,728.5,830.0,704.0,247.0,627.375
swing11_min_Gx,494.0,780.0,704.0,532.0,627.5
swing21_mean_Gx,728.5,604.0,463.5,717.5,628.375
swing4_mean_Ay,728.5,234.0,834.5,717.5,628.625
swing7_min_Gy,728.5,697.0,372.0,717.5,628.75
swing15_std_Gz,464.0,501.0,834.5,717.5,629.25
swing12_median_Gx,728.5,641.0,704.0,446.0,629.875
swing21_std_Gy,728.5,688.0,704.0,405.0,631.375
swing14_median_Ax,728.5,737.0,704.0,358.0,631.875
swing7_rms_Gx,728.5,380.0,704.0,717.5,632.5
swing12_std_Ay,728.5,382.0,704.0,717.5,633.0
swing25_min_Gy,466.0,775.0,579.0,717.5,634.375
swing4_std_Gz,728.5,630.0,463.5,717.5,634.875
swing19_std_Gy,728.5,520.0,579.0,717.5,636.25
swing19_mean_Gx,728.5,636.0,463.5,717.5,636.375
swing18_std_Ay,543.0,581.0,704.0,717.5,636.375
swing19_rms_Gy,728.5,794.0,307.5,717.5,636.875
swing17_rms_Gz,419.0,583.0,834.5,717.5,638.5
swing24_min_Gz,224.0,781.0,834.5,717.5,639.25
swing19_rms_Ay,418.0,724.0,704.0,717.5,640.875
swing7_std_Gy,728.5,654.0,463.5,717.5,640.875
swing13_max_Gy,728.5,744.0,704.0,389.0,641.375
swing22_min_Gx,728.5,852.0,579.0,412.0,642.875
swing18_max_Gy,728.5,818.0,834.5,191.0,643.0
swing6_max_Gy,728.5,850.0,834.5,168.0,645.25
swing5_min_Gx,728.5,862.0,704.0,291.0,646.375
swing22_std_Gz,728.5,639.0,704.0,516.0,646.875
swing18_rms_Gz,728.5,441.0,704.0,717.5,647.75
swing22_median_Gy,728.5,568.0,579.0,717.5,648.25
swing3_std_Gy,728.5,448.0,704.0,717.5,649.5
swing24_std_Ay,728.5,788.0,704.0,378.0,649.625
swing16_std_Gz,382.0,665.0,834.5,717.5,649.75
swing7_min_Gz,728.5,702.0,834.5,335.0,650.0
swing12_rms_Ay,728.5,580.0,579.0,717.5,651.25
swing15_rms_Gy,728.5,743.0,704.0,431.0,651.625
swing15_median_Ax,728.5,682.0,834.5,363.0,652.0
swing20_min_Ax,728.5,462.0,704.0,717.5,653.0
swing2_rms_Gy,728.5,797.0,372.0,717.5,653.75
swing18_mean_Gx,728.5,748.0,704.0,436.0,654.125
swing22_std_Ay,728.5,708.0,463.5,717.5,654.375
swing10_rms_Gz,728.5,474.0,704.0,717.5,656.0
swing14_mean_Gx,728.5,599.0,579.0,717.5,656.0
swing11_std_Ay,728.5,813.0,372.0,717.5,657.75
swing14_std_Ay,486.0,593.0,834.5,717.5,657.75
swing13_median_Gy,728.5,685.0,704.0,514.0,657.875
swing5_rms_Ay,728.5,482.0,704.0,717.5,658.0
swing6_std_Gy,728.5,785.0,704.0,418.0,658.875
swing12_rms_Gy,728.5,727.0,463.5,717.5,659.125
swing22_rms_Gy,728.5,728.0,463.5,717.5,659.375
swing2_mean_Ay,728.5,491.0,704.0,717.5,660.25
swing14_rms_Gy,728.5,619.0,579.0,717.5,661.0
swing23_std_Ay,728.5,735.0,463.5,717.5,661.125
swing13_min_Gx,728.5,796.0,704.0,417.0,661.375
swing7_max_Gx,728.5,366.0,834.5,717.5,661.625
swing2_min_Gy,417.0,681.0,834.5,717.5,662.5
swing10_std_Ay,728.5,834.0,372.0,717.5,663.0
swing3_min_Ay,728.5,732.0,834.5,357.0,663.0
swing6_std_Ay,728.5,508.0,704.0,717.5,664.5
swing19_max_Gx,728.5,378.0,834.5,717.5,664.625
swing20_median_Ax,509.0,730.0,704.0,717.5,665.125
swing13_std_Ay,490.0,749.0,704.0,717.5,665.125
swing22_median_Gx,728.5,756.0,834.5,345.0,666.0
swing15_max_Gx,728.5,386.0,834.5,717.5,666.625
swing19_max_Gz,728.5,873.0,834.5,232.0,667.0
swing5_std_Ay,728.5,644.0,579.0,717.5,667.25
swing8_rms_Gy,728.5,761.0,463.5,717.5,667.625
swing7_min_Gx,728.5,854.0,372.0,717.5,668.0
swing14_std_Gz,550.0,706.0,704.0,717.5,669.375
swing22_rms_Ay,728.5,807.0,834.5,309.0,669.75
swing9_std_Ay,728.5,653.0,834.5,477.0,673.25
swing26_max_Gx,728.5,413.0,834.5,717.5,673.375
swing9_std_Gz,728.5,792.0,463.5,717.5,675.375
swing15_max_Gy,728.5,554.0,704.0,717.5,676.0
swing20_std_Gz,728.5,648.0,834.5,495.0,676.5
swing24_mean_Ay,728.5,570.0,704.0,717.5,680.0
swing12_max_Gy,728.5,701.0,579.0,717.5,681.5
swing25_mean_Gx,728.5,447.0,834.5,717.5,681.875
swing15_median_Ay,728.5,596.0,704.0,717.5,686.5
swing3_rms_Gy,728.5,722.0,579.0,717.5,686.75
swing11_std_Gz,728.5,725.0,579.0,717.5,687.5
swing16_min_Ay,728.5,601.0,704.0,717.5,687.75
swing24_median_Ax,728.5,833.0,704.0,487.0,688.125
swing9_rms_Gz,728.5,606.0,704.0,717.5,689.0
swing2_max_Gz,728.5,858.0,834.5,338.0,689.75
swing12_min_Gy,728.5,740.0,579.0,717.5,691.25
swing25_max_Gy,728.5,895.0,834.5,312.0,692.5
swing19_rms_Gz,728.5,622.0,704.0,717.5,693.0
swing22_max_Gx,728.5,755.0,579.0,717.5,695.0
swing21_min_Gz,728.5,838.0,834.5,388.0,697.25
swing20_std_Ax,728.5,766.0,579.0,717.5,697.75
swing8_max_Gy,728.5,512.0,834.5,717.5,698.125
swing12_std_Gz,728.5,769.0,579.0,717.5,698.5
swing23_max_Gz,467.0,787.0,834.5,717.5,701.5
swing4_max_Gy,728.5,526.0,834.5,717.5,701.625
swing16_rms_Ay,728.5,782.0,834.5,464.0,702.25
swing17_std_Gx,728.5,531.0,834.5,717.5,702.875
swing14_rms_Ay,728.5,790.0,579.0,717.5,703.75
swing19_std_Gz,728.5,668.0,704.0,717.5,704.5
swing7_std_Gz,728.5,673.0,704.0,717.5,705.75
swing4_mean_Gx,728.5,676.0,704.0,717.5,706.5
swing26_rms_Ay,728.5,809.0,579.0,717.5,708.5
swing8_min_Ay,728.5,558.0,834.5,717.5,709.625
swing24_median_Gz,728.5,689.0,704.0,717.5,709.75
swing5_std_Gy,728.5,695.0,704.0,717.5,711.25
swing16_max_Gy,423.0,872.0,834.5,717.5,711.75
swing9_min_Gz,728.5,855.0,834.5,432.0,712.5
swing5_max_Gx,728.5,576.0,834.5,717.5,714.125
swing10_max_Gy,728.5,711.0,704.0,717.5,715.25
swing19_min_Gx,728.5,712.0,704.0,717.5,715.5
swing19_min_Ay,728.5,582.0,834.5,717.5,715.625
swing2_rms_Gz,728.5,585.0,834.5,717.5,716.375
swing13_std_Gz,728.5,842.0,579.0,717.5,716.75
swing20_max_Az,728.5,589.0,834.5,717.5,717.375
swing15_min_Ay,728.5,726.0,704.0,717.5,719.0
swing10_mean_Gx,728.5,597.0,834.5,717.5,719.375
swing14_min_Ay,728.5,603.0,834.5,717.5,720.875
swing8_rms_Ay,728.5,751.0,704.0,717.5,725.25
swing19_max_Gy,728.5,624.0,834.5,717.5,726.125
swing11_max_Gx,728.5,626.0,834.5,717.5,726.625
swing9_min_Gx,728.5,758.0,704.0,717.5,727.0
swing10_min_Gx,728.5,868.0,834.5,479.0,727.5
swing2_min_Gx,728.5,895.0,834.5,454.0,728.0
swing6_min_Gz,728.5,650.0,834.5,717.5,732.625
swing26_min_Gx,507.0,876.0,834.5,717.5,733.75
swing18_min_Gx,728.5,789.0,704.0,717.5,734.75
swing10_rms_Gy,728.5,660.0,834.5,717.5,735.125
swing23_min_Gy,728.5,664.0,834.5,717.5,736.125
swing23_max_Gy,728.5,675.0,834.5,717.5,738.875
swing4_min_Gx,728.5,806.0,704.0,717.5,739.0
swing2_max_Gy,728.5,826.0,704.0,717.5,744.0
swing2_min_Gz,728.5,827.0,704.0,717.5,744.25
swing11_rms_Gy,728.5,718.0,834.5,717.5,749.625
swing23_min_Gz,728.5,856.0,704.0,717.5,751.5
swing15_min_Gx,728.5,859.0,704.0,717.5,752.25
swing7_median_Ax,728.5,734.0,834.5,717.5,753.625
swing20_max_Gy,728.5,746.0,834.5,717.5,756.625
swing3_min_Gz,728.5,881.0,704.0,717.5,757.75
swing11_max_Gy,728.5,895.0,704.0,717.5,761.25
swing20_min_Gx,728.5,895.0,704.0,717.5,761.25
swing4_min_Ay,728.5,770.0,834.5,717.5,762.625
swing10_max_Gx,728.5,771.0,834.5,717.5,762.875
swing25_std_Ay,728.5,773.0,834.5,717.5,763.375
swing14_median_Gx,728.5,784.0,834.5,717.5,766.125
swing24_min_Gx,728.5,786.0,834.5,717.5,766.625
swing4_median_Ax,728.5,791.0,834.5,717.5,767.875
swing17_min_Gx,728.5,795.0,834.5,717.5,768.875
swing5_median_Ax,728.5,805.0,834.5,717.5,771.375
swing3_max_Gy,728.5,808.0,834.5,717.5,772.125
swing22_max_Gy,728.5,812.0,834.5,717.5,773.125
swing8_median_Ax,728.5,814.0,834.5,717.5,773.625
swing20_max_Gz,728.5,815.0,834.5,717.5,773.875
swing13_max_Gz,728.5,817.0,834.5,717.5,774.375
swing15_std_Ay,728.5,819.0,834.5,717.5,774.875
swing10_max_Gz,728.5,820.0,834.5,717.5,775.125
swing2_max_Gx,728.5,821.0,834.5,717.5,775.375
swing16_min_Gz,728.5,822.0,834.5,717.5,775.625
swing7_max_Gy,728.5,829.0,834.5,717.5,777.375
swing21_max_Gz,728.5,832.0,834.5,717.5,778.125
swing25_max_Gz,728.5,835.0,834.5,717.5,778.875
swing25_min_Gz,728.5,836.0,834.5,717.5,779.125
swing5_min_Gz,728.5,837.0,834.5,717.5,779.375
swing3_max_Gz,728.5,843.0,834.5,717.5,780.875
swing8_max_Gz,728.5,845.0,834.5,717.5,781.375
swing11_min_Gz,728.5,846.0,834.5,717.5,781.625
swing16_max_Gz,728.5,847.0,834.5,717.5,781.875
swing17_min_Gz,728.5,848.0,834.5,717.5,782.125
swing22_mean_Gx,728.5,849.0,834.5,717.5,782.375
swing18_min_Gz,728.5,851.0,834.5,717.5,782.875
swing13_min_Gz,728.5,853.0,834.5,717.5,783.375
swing22_min_Gz,728.5,857.0,834.5,717.5,784.375
swing24_max_Gz,728.5,860.0,834.5,717.5,785.125
swing10_min_Gz,728.5,861.0,834.5,717.5,785.375
swing5_max_Gy,728.5,863.0,834.5,717.5,785.875
swing9_max_Gz,728.5,864.0,834.5,717.5,786.125
swing20_min_Gz,728.5,867.0,834.5,717.5,786.875
swing14_min_Gx,728.5,869.0,834.5,717.5,787.375
swing12_min_Gz,728.5,870.0,834.5,717.5,787.625
swing3_min_Gx,728.5,871.0,834.5,717.5,787.875
swing6_min_Gx,728.5,875.0,834.5,717.5,788.875
swing22_max_Gz,728.5,877.0,834.5,717.5,789.375
swing14_max_Gy,728.5,878.0,834.5,717.5,789.625
swing26_max_Gz,728.5,879.0,834.5,717.5,789.875
swing17_max_Gy,728.5,883.0,834.5,717.5,790.875
swing4_max_Gz,728.5,884.0,834.5,717.5,791.125
swing17_max_Gz,728.5,885.0,834.5,717.5,791.375
swing15_max_Gz,728.5,886.0,834.5,717.5,791.625
swing5_max_Gz,728.5,887.0,834.5,717.5,791.875
swing12_max_Gz,728.5,895.0,834.5,717.5,793.875
swing14_min_Gz,728.5,895.0,834.5,717.5,793.875
swing4_min_Gz,728.5,895.0,834.5,717.5,793.875
swing11_max_Gz,728.5,895.0,834.5,717.5,793.875
swing18_max_Gz,728.5,895.0,834.5,717.5,793.875
swing15_min_Gz,728.5,895.0,834.5,717.5,793.875
swing6_max_Gz,728.5,895.0,834.5,717.5,793.875
swing19_min_Gz,728.5,895.0,834.5,717.5,793.875
swing21_max_Gy,728.5,895.0,834.5,717.5,793.875
swing14_max_Gz,728.5,895.0,834.5,717.5,793.875
swing7_max_Gz,728.5,895.0,834.5,717.5,793.875
