feature,rank_xgb,rank_rf,rank_lgbm,rank_cat,mean_rank
swing14_std_Gx,106.0,198.0,139.5,257.0,175.125
swing14_mean_Ay,87.0,217.0,372.0,35.0,177.75
swing7_median_Gz,298.0,182.0,75.0,159.0,178.5
swing22_mean_Gz,206.0,248.0,63.5,216.0,183.375
swing26_mean_Ax,245.0,143.0,28.0,321.0,184.25
swing6_max_Ay,125.0,309.0,186.5,137.0,189.375
swing23_std_Az,274.0,121.0,307.5,57.0,189.875
swing6_std_Ax,70.0,355.0,307.5,33.0,191.375
swing9_rms_Ax,427.0,20.0,41.5,282.0,192.625
swing23_max_Ax,246.0,261.0,160.5,105.0,193.125
swing7_mean_Gz,165.0,153.0,100.0,355.0,193.25
swing5_median_Gz,139.0,203.0,125.0,308.0,193.75
swing14_median_Gz,131.0,271.0,125.0,248.0,193.75
swing24_max_Ay,204.0,317.0,75.0,181.0,194.25
swing9_rms_Az,159.0,187.0,139.5,292.0,194.375
swing21_mean_Gz,337.0,333.0,75.0,38.0,195.75
swing20_max_Ay,234.0,260.0,100.0,190.0,196.0
swing18_max_Ax,344.0,224.0,139.5,80.0,196.875
swing10_max_Ay,310.0,225.0,100.0,155.0,197.5
swing4_mean_Gy,91.0,295.0,139.5,272.0,199.375
swing19_max_Ax,41.0,183.0,463.5,112.0,199.875
swing8_rms_Az,415.0,163.0,186.5,37.0,200.375
swing26_mean_Gy,94.0,337.0,307.5,63.0,200.375
swing23_median_Gx,330.0,244.0,25.5,205.0,201.125
swing8_max_Ay,133.0,227.0,256.0,192.0,202.0
swing12_max_Ay,270.0,206.0,125.0,209.0,202.5
swing21_rms_Az,109.0,312.0,215.0,176.0,203.0
swing18_max_Ay,412.0,118.0,87.5,200.0,204.375
swing18_rms_Az,335.0,202.0,256.0,30.0,205.75
swing13_mean_Ay,50.0,233.0,87.5,457.0,206.875
swing5_median_Gy,182.0,397.0,215.0,40.0,208.5
swing20_median_Gz,288.0,106.0,113.5,328.0,208.875
swing2_mean_Az,428.0,44.0,56.0,314.0,210.5
swing4_std_Az,438.0,48.0,87.5,271.0,211.125
swing19_rms_Gx,243.0,215.0,256.0,134.0,212.0
swing4_mean_Az,364.0,26.0,215.0,245.0,212.5
swing13_std_Az,166.0,131.0,186.5,367.0,212.625
swing3_rms_Ax,191.0,69.0,256.0,340.0,214.0
swing5_std_Az,276.0,149.0,256.0,179.0,215.0
swing24_max_Ax,420.0,91.0,215.0,136.0,215.5
swing6_median_Az,470.0,83.0,139.5,174.0,216.625
swing16_median_Gz,127.0,113.0,100.0,527.0,216.75
swing22_min_Gy,53.0,370.0,307.5,146.0,219.125
swing10_rms_Ax,294.0,51.0,256.0,276.0,219.25
swing3_max_Gx,10.0,195.0,186.5,492.0,220.875
swing4_rms_Ax,492.0,95.0,125.0,175.0,221.75
swing3_median_Gz,399.0,194.0,139.5,167.0,224.875
swing15_std_Ax,126.0,122.0,256.0,397.0,225.25
swing10_mean_Az,378.0,104.0,160.5,262.0,226.125
swing18_mean_Gz,265.0,145.0,48.0,448.0,226.5
swing22_rms_Ax,433.0,154.0,256.0,64.0,226.75
swing5_mean_Ax,325.0,331.0,186.5,67.0,227.375
swing12_median_Gz,307.0,188.0,186.5,239.0,230.125
swing4_rms_Gx,320.0,134.0,186.5,281.0,230.375
swing8_mean_Az,447.0,63.0,307.5,106.0,230.875
swing17_max_Ax,277.0,304.0,100.0,244.0,231.25
swing22_median_Gz,367.0,414.0,75.0,79.0,233.75
swing15_rms_Az,215.0,96.0,372.0,253.0,234.0
swing8_max_Ax,180.0,343.0,160.5,268.0,237.875
swing8_median_Ay,172.0,573.0,125.0,84.0,238.5
swing20_rms_Ax,553.0,33.0,87.5,289.0,240.625
swing15_mean_Az,407.0,167.0,186.5,210.0,242.625
swing16_std_Az,360.0,101.0,215.0,295.0,242.75
swing23_mean_Ax,85.0,210.0,256.0,428.0,244.75
swing16_mean_Az,101.0,84.0,463.5,331.0,244.875
swing18_median_Gz,169.0,274.0,215.0,327.0,246.25
swing19_mean_Gz,342.0,132.0,160.5,351.0,246.375
swing26_median_Gy,156.0,446.0,20.0,370.0,248.0
swing21_max_Ax,345.0,60.0,186.5,403.0,248.625
swing26_rms_Az,198.0,169.0,256.0,374.0,249.25
swing26_mean_Ay,158.0,629.0,25.5,185.0,249.375
swing15_std_Az,260.0,62.0,463.5,214.0,249.875
swing22_max_Ax,257.0,238.0,215.0,293.0,250.75
swing24_rms_Ax,179.0,124.0,463.5,243.0,252.375
swing14_max_Ay,369.0,272.0,307.5,81.0,257.375
swing14_mean_Gz,373.0,252.0,372.0,43.0,260.0
swing7_median_Gx,160.0,278.0,463.5,143.0,261.125
swing8_std_Gx,229.0,236.0,463.5,118.0,261.625
mode,278.0,768.0,1.0,3.0,262.5
swing26_rms_Ax,475.0,148.0,160.5,269.0,263.125
swing8_median_Gz,192.0,140.0,256.0,466.0,263.5
swing26_mean_Az,343.0,296.0,256.0,160.0,263.75
swing20_rms_Gx,46.0,383.0,307.5,326.0,265.625
swing16_max_Ax,463.0,99.0,63.5,444.0,267.375
swing19_max_Ay,359.0,157.0,186.5,369.0,267.875
swing3_mean_Az,728.5,27.0,139.5,178.0,268.25
swing3_std_Ax,90.0,362.0,372.0,251.0,268.75
swing9_max_Ay,548.0,262.0,160.5,115.0,271.375
swing19_std_Az,68.0,86.0,215.0,717.5,271.625
swing25_std_Az,474.0,139.0,307.5,172.0,273.125
swing9_mean_Ax,458.0,100.0,186.5,353.0,274.375
swing8_std_Ax,408.0,276.0,215.0,203.0,275.5
swing9_min_Gy,349.0,461.0,63.5,234.0,276.875
swing11_median_Ay,219.0,250.0,139.5,500.0,277.125
swing20_rms_Gy,143.0,354.0,307.5,304.0,277.125
swing25_max_Gx,146.0,108.0,463.5,392.0,277.375
swing24_min_Gy,249.0,471.0,160.5,230.0,277.625
swing11_min_Gy,104.0,541.0,256.0,212.0,278.25
swing22_mean_Ax,216.0,223.0,372.0,305.0,279.0
swing5_rms_Gx,188.0,178.0,463.5,288.0,279.375
swing21_mean_Gy,93.0,209.0,100.0,717.5,279.875
swing22_mean_Az,305.0,135.0,307.5,372.0,279.875
swing14_mean_Ax,324.0,266.0,463.5,74.0,281.875
swing10_mean_Ax,135.0,165.0,113.5,717.5,282.75
swing15_mean_Ax,136.0,205.0,75.0,717.5,283.375
swing23_mean_Gz,283.0,207.0,307.5,342.0,284.875
swing21_mean_Az,422.0,57.0,215.0,449.0,285.75
swing11_mean_Ay,168.0,213.0,579.0,183.0,285.75
swing11_min_Az,151.0,562.0,307.5,125.0,286.375
swing19_rms_Az,539.0,170.0,256.0,186.0,287.75
swing24_mean_Gz,128.0,384.0,256.0,384.0,288.0
swing4_median_Ay,105.0,375.0,579.0,99.0,289.5
swing5_rms_Az,292.0,322.0,307.5,237.0,289.625
swing25_median_Gy,217.0,467.0,307.5,169.0,290.125
swing21_rms_Ay,197.0,201.0,56.0,717.5,292.875
swing24_max_Gx,48.0,590.0,372.0,170.0,295.0
swing7_mean_Gy,221.0,406.0,372.0,188.0,296.75
swing11_mean_Ax,239.0,125.0,704.0,120.0,297.0
swing10_mean_Gz,394.0,226.0,307.5,263.0,297.625
swing17_mean_Gz,227.0,136.0,113.5,717.5,298.5
test_time,393.0,609.0,56.0,139.0,299.25
swing12_rms_Gx,148.0,258.0,463.5,329.0,299.625
swing15_max_Ax,157.0,111.0,215.0,717.5,300.125
swing12_rms_Az,496.0,190.0,256.0,259.0,300.25
swing2_std_Az,468.0,92.0,256.0,393.0,302.25
swing5_mean_Gz,86.0,159.0,256.0,717.5,304.625
swing25_mean_Gz,230.0,298.0,186.5,511.0,306.375
swing25_max_Ax,363.0,513.0,186.5,163.0,306.375
swing16_rms_Gx,82.0,509.0,372.0,265.0,307.0
swing19_median_Gx,473.0,109.0,125.0,524.0,307.75
swing19_median_Ay,107.0,418.0,307.5,402.0,308.625
swing5_mean_Az,362.0,168.0,215.0,493.0,309.5
swing23_rms_Gz,327.0,191.0,372.0,350.0,310.0
swing9_median_Gx,144.0,517.0,372.0,208.0,310.25
swing14_max_Gx,23.0,247.0,256.0,717.5,310.875
swing21_median_Gz,472.0,349.0,100.0,323.0,311.0
swing2_max_Ax,194.0,173.0,160.5,717.5,311.25
swing11_median_Gz,65.0,156.0,307.5,717.5,311.5
swing4_mean_Gz,154.0,363.0,256.0,475.0,312.0
swing7_median_Ay,435.0,645.0,75.0,93.0,312.0
swing25_mean_Az,272.0,253.0,579.0,145.0,312.25
swing12_max_Ax,536.0,279.0,256.0,180.0,312.75
swing4_rms_Az,268.0,442.0,160.5,382.0,313.125
swing12_mean_Gz,450.0,214.0,215.0,375.0,313.5
swing19_median_Gz,88.0,633.0,307.5,226.0,313.625
swing9_min_Az,528.0,310.0,307.5,109.0,313.625
swing9_mean_Az,252.0,126.0,160.5,717.5,314.0
swing20_mean_Ax,304.0,160.0,75.0,717.5,314.125
swing12_median_Ay,416.0,586.0,100.0,156.0,314.5
swing15_rms_Gz,210.0,595.0,307.5,153.0,316.375
swing23_median_Ay,411.0,324.0,307.5,236.0,319.625
swing6_mean_Ay,4.0,152.0,704.0,419.0,319.75
swing7_rms_Az,356.0,94.0,113.5,717.5,320.25
swing26_median_Gz,40.0,484.0,307.5,450.0,320.375
swing26_median_Ay,184.0,674.0,160.5,264.0,320.625
swing13_median_Gx,728.5,256.0,160.5,142.0,321.75
swing16_median_Gx,379.0,345.0,186.5,377.0,321.875
swing21_min_Az,395.0,399.0,160.5,334.0,322.125
swing17_median_Gy,518.0,357.0,372.0,42.0,322.25
swing21_std_Ax,64.0,594.0,372.0,261.0,322.75
swing6_mean_Gy,348.0,496.0,256.0,194.0,323.5
swing13_median_Gz,728.5,184.0,186.5,199.0,324.5
swing5_mean_Ay,231.0,219.0,579.0,274.0,325.75
swing19_mean_Az,398.0,193.0,463.5,258.0,328.125
swing19_mean_Gy,402.0,460.0,372.0,89.0,330.75
swing9_median_Gz,118.0,400.0,100.0,717.5,333.875
swing15_median_Gz,56.0,311.0,256.0,717.5,335.125
swing4_median_Gz,405.0,323.0,256.0,360.0,336.0
swing16_mean_Gy,510.0,302.0,463.5,73.0,337.125
swing12_rms_Gz,280.0,443.0,579.0,53.0,338.75
swing11_mean_Az,728.5,192.0,215.0,220.0,338.875
swing13_max_Ax,541.0,171.0,463.5,182.0,339.375
swing13_rms_Ay,334.0,334.0,463.5,228.0,339.875
swing8_rms_Gz,220.0,435.0,256.0,465.0,344.0
swing15_min_Az,484.0,503.0,256.0,133.0,344.0
swing2_rms_Ax,491.0,82.0,463.5,341.0,344.375
swing25_mean_Gy,514.0,181.0,307.5,381.0,345.875
swing19_mean_Ay,76.0,222.0,372.0,717.5,346.875
swing15_mean_Ay,477.0,275.0,579.0,58.0,347.25
swing16_max_Ay,499.0,393.0,160.5,337.0,347.375
swing13_mean_Az,728.5,288.0,256.0,123.0,348.875
swing21_median_Gy,39.0,537.0,579.0,242.0,349.25
swing25_mean_Ax,443.0,123.0,113.5,717.5,349.25
swing8_mean_Ax,454.0,325.0,372.0,249.0,350.0
swing2_min_Ax,410.0,757.0,160.5,76.0,350.875
swing26_rms_Gy,269.0,638.0,372.0,126.0,351.25
swing9_median_Ax,355.0,477.0,372.0,204.0,352.0
swing23_std_Ax,69.0,162.0,463.5,717.5,353.0
swing17_rms_Gx,121.0,137.0,704.0,452.0,353.5
swing16_mean_Ax,322.0,161.0,215.0,717.5,353.875
swing5_std_Gx,403.0,200.0,463.5,352.0,354.625
swing13_std_Gx,465.0,281.0,215.0,462.0,355.75
swing25_rms_Gz,21.0,549.0,579.0,287.0,359.0
swing6_min_Az,141.0,579.0,307.5,409.0,359.125
swing2_max_Ay,208.0,372.0,139.5,717.5,359.25
swing8_median_Gx,332.0,646.0,256.0,207.0,360.25
swing13_rms_Az,32.0,391.0,307.5,717.5,362.0
swing4_std_Gx,728.5,146.0,256.0,324.0,363.625
swing21_mean_Ax,238.0,128.0,372.0,717.5,363.875
swing22_min_Ax,27.0,486.0,579.0,364.0,364.0
swing19_median_Gy,517.0,374.0,256.0,311.0,364.5
swing11_rms_Az,728.5,246.0,372.0,121.0,366.875
swing9_mean_Gx,140.0,147.0,463.5,717.5,367.0
swing13_mean_Gz,429.0,204.0,579.0,260.0,368.0
swing16_std_Ax,551.0,319.0,372.0,231.0,368.25
swing26_rms_Gx,522.0,470.0,215.0,267.0,368.5
swing4_median_Gy,505.0,416.0,307.5,246.0,368.625
swing2_std_Ay,390.0,527.0,307.5,250.0,368.625
swing12_mean_Gx,137.0,515.0,463.5,361.0,369.125
swing6_median_Gz,297.0,277.0,186.5,717.5,369.5
swing21_std_Gz,178.0,506.0,704.0,92.0,370.0
swing18_max_Gx,44.0,220.0,704.0,513.0,370.25
swing20_mean_Az,728.5,176.0,256.0,330.0,372.625
swing18_mean_Az,728.5,47.0,256.0,461.0,373.125
swing7_min_Ax,481.0,704.0,256.0,56.0,374.25
swing8_min_Az,421.0,485.0,307.5,286.0,374.875
swing12_min_Az,114.0,456.0,215.0,717.5,375.625
swing20_mean_Ay,19.0,398.0,372.0,717.5,376.625
swing11_std_Gx,111.0,464.0,215.0,717.5,376.875
swing3_median_Gy,459.0,290.0,256.0,504.0,377.25
swing17_std_Ay,392.0,731.0,307.5,85.0,378.875
swing25_min_Ax,311.0,387.0,100.0,717.5,378.875
swing23_median_Gy,193.0,305.0,307.5,717.5,380.75
swing17_mean_Ay,262.0,450.0,372.0,441.0,381.25
swing3_mean_Ax,309.0,130.0,372.0,717.5,382.125
swing15_min_Ax,346.0,264.0,215.0,717.5,385.625
swing11_mean_Gz,401.0,211.0,215.0,717.5,386.125
swing23_median_Ax,457.0,377.0,579.0,138.0,387.75
swing23_rms_Ay,728.5,285.0,463.5,78.0,388.75
swing8_std_Gz,521.0,425.0,256.0,354.0,389.0
swing21_median_Ay,436.0,559.0,256.0,307.0,389.5
swing20_rms_Gz,11.0,459.0,372.0,717.5,389.875
swing21_mean_Ay,478.0,494.0,463.5,127.0,390.625
swing9_min_Ay,357.0,361.0,463.5,383.0,391.125
swing18_median_Ay,63.0,760.0,463.5,279.0,391.375
swing5_mean_Gy,201.0,613.0,48.0,717.5,394.875
swing4_max_Gx,341.0,306.0,215.0,717.5,394.875
swing7_min_Az,258.0,500.0,113.5,717.5,397.25
swing17_max_Gx,98.0,408.0,372.0,717.5,398.875
swing15_max_Az,293.0,424.0,463.5,415.0,398.875
swing17_mean_Gy,119.0,683.0,463.5,332.0,399.375
swing20_mean_Gy,452.0,621.0,372.0,154.0,399.75
swing20_median_Gx,232.0,810.0,186.5,379.0,401.875
swing3_rms_Gz,267.0,336.0,704.0,306.0,403.25
swing2_median_Gz,122.0,466.0,307.5,717.5,403.25
swing13_rms_Gx,248.0,472.0,372.0,521.0,403.25
swing25_mean_Ay,532.0,90.0,463.5,528.0,403.375
swing17_min_Ay,176.0,348.0,372.0,717.5,403.375
swing18_std_Gy,430.0,700.0,372.0,113.0,403.75
swing26_min_Gz,255.0,825.0,463.5,75.0,404.625
swing23_min_Ax,396.0,138.0,372.0,717.5,405.875
swing6_min_Ay,728.5,320.0,160.5,416.0,406.25
swing26_std_Gz,138.0,745.0,463.5,285.0,407.875
swing10_min_Az,397.0,572.0,160.5,508.0,409.375
swing23_mean_Gy,537.0,451.0,579.0,71.0,409.5
swing5_std_Ax,49.0,412.0,463.5,717.5,410.5
swing2_median_Ay,73.0,389.0,463.5,717.5,410.75
swing3_median_Gx,352.0,144.0,704.0,445.0,411.25
swing10_median_Gx,264.0,358.0,307.5,717.5,411.75
swing20_min_Az,453.0,270.0,704.0,224.0,412.75
swing7_max_Az,525.0,364.0,463.5,299.0,412.875
swing24_min_Ax,482.0,243.0,215.0,717.5,414.375
swing20_max_Gx,34.0,539.0,579.0,512.0,416.0
swing7_median_Gy,132.0,483.0,579.0,471.0,416.25
swing14_std_Gy,171.0,715.0,256.0,525.0,416.75
swing2_min_Ay,339.0,741.0,186.5,404.0,417.625
swing16_rms_Gz,728.5,521.0,372.0,62.0,420.875
swing18_min_Az,263.0,672.0,463.5,290.0,422.125
swing10_rms_Gx,728.5,255.0,372.0,343.0,424.625
swing13_mean_Ax,388.0,339.0,256.0,717.5,425.125
swing10_median_Gy,728.5,439.0,307.5,229.0,426.0
swing11_median_Ax,226.0,776.0,372.0,333.0,426.75
swing22_min_Az,218.0,426.0,579.0,484.0,426.75
swing14_min_Az,196.0,538.0,579.0,395.0,427.0
swing23_mean_Ay,728.5,273.0,579.0,129.0,427.375
swing24_rms_Gy,78.0,662.0,256.0,717.5,428.375
swing23_mean_Az,728.5,218.0,579.0,189.0,428.625
swing17_max_Az,190.0,563.0,256.0,717.5,431.625
swing12_mean_Ay,7.0,433.0,834.5,453.0,431.875
swing16_std_Gy,520.0,436.0,579.0,193.0,432.0
swing6_rms_Az,503.0,536.0,215.0,476.0,432.5
swing23_max_Gx,57.0,569.0,704.0,411.0,435.25
swing4_max_Ax,414.0,396.0,215.0,717.5,435.625
swing6_rms_Ay,728.5,196.0,463.5,362.0,437.5
swing3_mean_Gy,512.0,647.0,372.0,227.0,439.5
swing8_mean_Ay,247.0,488.0,307.5,717.5,440.0
swing2_rms_Az,350.0,232.0,463.5,717.5,440.75
swing20_max_Ax,353.0,115.0,579.0,717.5,441.125
swing19_min_Az,449.0,534.0,256.0,529.0,442.0
swing6_median_Gx,253.0,335.0,463.5,717.5,442.25
swing23_std_Gx,43.0,434.0,579.0,717.5,443.375
swing17_std_Ax,301.0,452.0,307.5,717.5,444.5
swing18_min_Gy,340.0,427.0,579.0,435.0,445.25
swing5_std_Gz,61.0,696.0,704.0,325.0,446.5
swing24_median_Gy,728.5,379.0,579.0,101.0,446.875
swing6_median_Ay,241.0,368.0,463.5,717.5,447.5
swing15_median_Gy,279.0,707.0,579.0,225.0,447.5
swing13_min_Ax,214.0,605.0,256.0,717.5,448.125
swing9_median_Ay,554.0,457.0,579.0,206.0,449.0
swing13_std_Gy,377.0,801.0,307.5,317.0,450.625
swing3_rms_Az,728.5,245.0,113.5,717.5,451.125
swing2_median_Ax,205.0,680.0,463.5,456.0,451.125
swing10_max_Az,313.0,617.0,160.5,717.5,452.0
swing26_median_Gx,440.0,783.0,372.0,213.0,452.0
swing20_min_Ay,351.0,667.0,579.0,211.0,452.0
swing16_mean_Ay,728.5,385.0,307.5,391.0,453.0
swing12_mean_Gy,515.0,438.0,704.0,157.0,453.5
swing10_std_Gy,728.5,367.0,463.5,256.0,453.75
swing12_std_Ax,329.0,66.0,704.0,717.5,454.125
swing19_min_Ax,728.5,628.0,160.5,302.0,454.75
swing8_min_Gy,456.0,610.0,372.0,385.0,455.75
swing18_max_Az,728.5,313.0,372.0,410.0,455.875
swing17_rms_Gy,152.0,713.0,834.5,124.0,455.875
swing7_std_Gx,487.0,405.0,215.0,717.5,456.125
swing25_median_Ax,75.0,522.0,834.5,396.0,456.875
swing3_mean_Ay,240.0,407.0,463.5,717.5,457.0
swing2_max_Az,323.0,709.0,307.5,490.0,457.375
swing17_min_Az,368.0,504.0,579.0,380.0,457.75
swing10_mean_Gy,389.0,465.0,704.0,273.0,457.75
swing12_min_Ax,244.0,346.0,834.5,408.0,458.125
swing2_median_Gy,306.0,440.0,372.0,717.5,458.875
swing6_rms_Gx,728.5,150.0,463.5,494.0,459.0
swing20_std_Gy,442.0,318.0,579.0,497.0,459.0
swing10_median_Gz,728.5,316.0,372.0,420.0,459.125
swing10_min_Gy,295.0,763.0,463.5,320.0,460.375
swing21_min_Ax,728.5,430.0,372.0,318.0,462.125
swing9_rms_Ay,112.0,560.0,463.5,717.5,463.25
swing25_min_Gx,338.0,831.0,463.5,221.0,463.375
swing6_mean_Ax,728.5,127.0,704.0,294.0,463.375
swing2_std_Gx,728.5,615.0,463.5,47.0,463.5
swing14_max_Ax,209.0,351.0,579.0,717.5,464.125
swing24_mean_Ax,488.0,437.0,215.0,717.5,464.375
swing4_median_Gx,469.0,502.0,463.5,424.0,464.625
swing3_std_Gx,728.5,237.0,186.5,717.5,467.375
swing3_rms_Gx,538.0,303.0,579.0,451.0,467.75
swing22_median_Ax,261.0,642.0,704.0,266.0,468.25
swing23_rms_Gx,290.0,415.0,704.0,467.0,469.0
swing18_median_Ax,58.0,640.0,834.5,349.0,470.375
swing19_min_Gy,728.5,635.0,372.0,148.0,470.875
swing24_mean_Az,728.5,216.0,704.0,235.0,470.875
swing25_std_Gx,529.0,174.0,463.5,717.5,471.0
swing10_mean_Ay,728.5,287.0,372.0,499.0,471.625
swing19_std_Ax,728.5,328.0,704.0,128.0,472.125
swing13_mean_Gx,250.0,555.0,372.0,717.5,473.625
swing13_min_Gy,299.0,719.0,160.5,717.5,474.0
swing7_rms_Ay,462.0,565.0,704.0,165.0,474.0
swing23_median_Gz,317.0,158.0,704.0,717.5,474.125
swing25_median_Ay,381.0,510.0,579.0,427.0,474.25
swing9_max_Gx,303.0,257.0,834.5,503.0,474.375
swing8_median_Gy,17.0,587.0,579.0,717.5,475.125
swing6_std_Gz,549.0,574.0,372.0,407.0,475.5
swing9_min_Ax,163.0,714.0,307.5,717.5,475.5
swing26_std_Gx,376.0,230.0,579.0,717.5,475.625
swing25_median_Gz,728.5,297.0,160.5,717.5,475.875
swing23_min_Az,26.0,458.0,704.0,717.5,476.375
swing10_rms_Az,485.0,242.0,463.5,717.5,477.0
swing5_rms_Gy,183.0,703.0,307.5,717.5,477.75
