,0
segment12_Az_median,0.03329481
segment4_Ax_mean,0.0261962
segment13_Az_median,0.025882576
segment25_Gy_mean,0.025330301
segment21_Gx_max,0.022381416
segment8_Az_median,0.01576501
segment12_Ax_std,0.013727054
segment15_Gy_median,0.013211646
segment2_Ax_mean,0.012969799
segment6_Ax_mean,0.011355361
segment25_Gx_max,0.011062902
segment17_Gx_max,0.010702544
segment10_Az_median,0.010198063
segment14_Gx_max,0.009797413
segment21_Gy_mean,0.009484971
segment24_Gy_mean,0.009402851
segment20_Az_median,0.009067213
segment2_Ax_std,0.0089286305
segment17_Ax_std,0.008683154
segment9_Az_median,0.008458923
segment6_Gx_max,0.008363019
segment3_Gx_max,0.0081111
segment20_Az_mean,0.0077227536
segment15_Ax_std,0.0076630013
segment13_Gz_median,0.0071006007
segment9_Ay_max,0.006937775
segment15_Az_std,0.0068514114
segment17_Az_std,0.00672347
segment20_Az_std,0.006710558
segment13_Ay_mean,0.006650967
segment18_Gy_min,0.006354981
segment16_Gz_median,0.0062883655
segment19_Az_median,0.0062793214
segment23_Az_median,0.0062765265
segment12_Az_std,0.0058100447
segment3_Gy_min,0.0057405336
segment1_Gy_mean,0.0055263736
segment22_Az_median,0.005524313
segment26_Gy_std,0.005012808
segment26_Az_median,0.0048037325
segment8_Gy_median,0.0047469595
segment4_Ay_max,0.004694759
segment6_Gy_mean,0.004685988
segment5_Az_median,0.0046364963
segment11_Ay_max,0.0046126703
segment8_Az_std,0.0046092123
segment11_Gy_max,0.00452838
segment1_Ax_mean,0.004469038
segment8_Az_mean,0.0044284225
segment16_Ax_mean,0.0044131074
segment19_Ay_median,0.004383374
segment10_Ax_std,0.0043200194
segment4_Gx_median,0.0042453213
segment23_Ay_min,0.004065783
segment15_Az_min,0.004049532
segment7_Gz_mean,0.0040429514
segment23_Gx_max,0.0040386952
segment7_Ax_mean,0.004023416
segment4_Gy_min,0.0040075555
segment16_Gz_mean,0.003986787
segment2_Ay_std,0.00398678
segment2_Az_mean,0.003931443
segment18_Az_std,0.0039287116
segment0_Az_median,0.0038819506
segment15_Gy_min,0.00387182
segment5_Az_mean,0.0038029144
segment6_Gy_median,0.003710472
segment26_Ay_max,0.003683937
segment23_Gy_mean,0.00365961
segment5_Gz_mean,0.0036328102
segment1_Az_mean,0.0035504098
segment8_Gz_mean,0.0035470796
segment0_Gx_mean,0.0034761683
segment23_Az_mean,0.0034734544
segment5_Ax_min,0.003459715
segment14_Gx_std,0.0034458407
segment17_Ay_median,0.003433001
segment6_Ay_max,0.0034277427
segment7_Ax_min,0.0034085417
segment11_Gy_mean,0.0033787668
segment11_Ax_max,0.0033585308
segment19_Gy_mean,0.003344457
segment14_Gz_mean,0.0033166884
segment2_Az_median,0.0032957017
segment16_Gx_max,0.0032946814
segment6_Gy_min,0.0032574276
segment5_Az_min,0.0032526772
segment7_Gy_median,0.0032471644
segment1_Ay_mean,0.0032119309
segment25_Az_std,0.003202081
segment11_Gy_min,0.003186688
segment3_Az_median,0.0031627142
segment0_Ay_median,0.0031439278
segment14_Ax_std,0.003043507
segment25_Ax_mean,0.0030418804
segment1_Az_median,0.0030083298
segment26_Gz_std,0.0029763118
segment9_Az_std,0.0029213354
segment9_Ax_median,0.00287602
segment24_Ax_max,0.0028430673
segment26_Ay_min,0.002839334
segment3_Ay_min,0.0028164778
segment13_Ax_median,0.0028073085
segment19_Az_min,0.002787332
segment17_Az_mean,0.0027378646
segment18_Ax_mean,0.002727648
segment20_Ax_min,0.0027251272
segment0_Gz_min,0.0027249358
segment17_Ax_mean,0.0026897732
segment9_Gy_median,0.002671137
segment25_Az_median,0.002671061
segment5_Gy_min,0.0026354932
segment24_Ax_std,0.002623673
segment7_Az_mean,0.0026197338
segment19_Ay_mean,0.0025822876
segment4_Az_median,0.00254415
segment5_Az_max,0.0025293285
segment19_Gy_median,0.0025078806
segment17_Gz_mean,0.0024951769
segment16_Gz_std,0.0024627855
segment11_Ax_median,0.0024515342
segment19_Ax_mean,0.0024477146
segment18_Ax_std,0.0024132011
segment3_Ax_median,0.0023430241
segment0_Gy_min,0.0023344094
segment16_Az_median,0.0023017828
segment20_Ay_min,0.0022738592
segment21_Gy_min,0.0022647367
segment0_Gx_max,0.0022511897
segment0_Ax_median,0.0022456662
segment21_Ax_std,0.0022320494
segment22_Az_std,0.0022294016
segment2_Gz_median,0.002229027
segment7_Az_median,0.002226413
segment8_Gy_mean,0.0022253161
segment26_Az_std,0.0022189624
segment7_Ax_max,0.0021836453
segment23_Gz_std,0.002181174
segment4_Gy_mean,0.0021279287
segment13_Ay_max,0.0021263596
segment16_Az_max,0.0021250434
segment19_Gx_std,0.0021212099
segment13_Ay_std,0.0021056568
segment5_Gx_min,0.0020970786
segment19_Gy_min,0.002071114
segment2_Gz_std,0.0020622672
segment9_Gz_mean,0.0020304888
segment24_Gy_min,0.0019717994
segment0_Gx_min,0.001954912
segment23_Az_min,0.001936201
segment19_Ay_max,0.001935167
segment21_Ay_max,0.0019251592
segment2_Az_std,0.0019247017
segment21_Gz_median,0.0018859642
segment1_Az_std,0.0018729515
segment20_Gz_mean,0.0018630681
segment10_Ax_mean,0.0018231756
segment0_Ay_max,0.001814501
segment17_Ay_std,0.0017857346
segment6_Gx_std,0.0017830632
segment7_Ax_median,0.0017666424
segment12_Gz_mean,0.0017646945
segment13_Gy_min,0.0017610174
segment7_Gx_std,0.0017273527
segment0_Ax_mean,0.0017011518
segment9_Az_max,0.0016850256
segment26_Ax_max,0.0016791715
segment15_Ax_mean,0.0016705008
segment7_Az_std,0.0016687557
segment18_Gy_median,0.0016664207
segment19_Az_std,0.0016339532
segment8_Gz_min,0.0016294367
segment17_Az_min,0.001619016
segment18_Gy_std,0.001617092
segment14_Gz_median,0.0016164576
segment11_Ax_std,0.0015955835
segment9_Ax_min,0.0015909076
segment9_Gz_median,0.0015894099
segment8_Gy_std,0.001573631
segment1_Ax_median,0.0015708234
segment0_Az_max,0.0015634727
segment2_Ay_max,0.0015581953
segment21_Ay_min,0.0015416578
segment18_Gz_median,0.0015318298
segment1_Az_min,0.001527876
segment23_Gy_median,0.0015031876
segment16_Az_std,0.0014951082
segment9_Ay_std,0.0014913835
segment7_Az_min,0.0014910048
segment14_Ay_max,0.0014685615
segment17_Ax_max,0.0014677532
segment20_Ay_max,0.0014670904
segment19_Az_mean,0.0014626058
segment0_Gz_mean,0.0014441164
segment13_Ax_min,0.0014403486
segment23_Gx_median,0.0014379361
segment24_Ay_max,0.0014326185
segment1_Ay_median,0.0014325995
segment24_Az_median,0.001425795
segment14_Az_median,0.0014154749
segment15_Az_median,0.0014138883
segment18_Ay_mean,0.0014129238
segment13_Gz_max,0.0013929044
segment26_Gy_min,0.0013900887
segment12_Ax_mean,0.0013899002
segment13_Ax_max,0.0013856145
segment4_Gz_mean,0.0013482282
segment3_Ay_mean,0.0013345582
segment14_Az_std,0.0013242244
segment17_Az_median,0.0013231568
segment0_Ay_mean,0.0013155176
segment17_Ay_min,0.0013001189
segment19_Gz_median,0.0012970759
segment16_Ay_mean,0.0012853388
segment3_Ax_std,0.0012815426
segment9_Gy_max,0.0012812134
segment7_Gy_std,0.0012598783
segment22_Ay_min,0.0012411537
segment18_Gz_mean,0.0012243546
segment21_Ay_mean,0.001223925
segment0_Ay_min,0.0012173194
segment3_Ax_max,0.0012146344
segment25_Az_max,0.0012110422
segment20_Ax_mean,0.0011996105
segment11_Gx_median,0.0011981413
mode,0.0011928038
segment8_Ax_mean,0.001192423
segment22_Gz_median,0.0011920014
segment23_Gz_mean,0.0011847379
segment12_Ax_max,0.0011399584
segment15_Ax_min,0.0011263825
segment16_Gy_median,0.0011024553
segment23_Ax_mean,0.0010961014
segment12_Ay_median,0.0010954458
segment7_Gy_min,0.0010911088
segment16_Ax_max,0.0010906399
segment26_Gz_min,0.0010898678
segment20_Gx_max,0.0010864778
segment23_Ax_median,0.0010708875
segment3_Gz_mean,0.0010581134
segment8_Gz_median,0.0010545391
segment13_Az_std,0.0010508262
segment16_Gy_min,0.0010356947
segment25_Ay_max,0.0010325004
segment22_Gy_mean,0.0009984759
segment0_Gy_median,0.0009952788
segment2_Gx_std,0.000991317
segment26_Az_max,0.0009790264
segment25_Ax_std,0.0009664684
segment26_Gz_median,0.00096608174
segment7_Ay_std,0.00096064946
segment11_Gx_std,0.0009592791
segment25_Ax_min,0.000953545
segment13_Az_min,0.00093112036
segment22_Gy_median,0.00093109277
segment11_Gx_max,0.00092184875
segment26_Ax_median,0.00091843546
segment5_Ax_std,0.0009173647
segment9_Ax_mean,0.0009112936
segment9_Gy_min,0.0009075937
segment8_Ax_max,0.00087811216
segment4_Ay_median,0.00087667606
segment24_Az_std,0.0008674481
segment6_Gz_mean,0.00085932727
segment21_Gx_mean,0.0008591411
segment0_Gx_median,0.00085781456
segment10_Gz_median,0.00085603975
segment0_Ay_std,0.0008558357
segment20_Ay_mean,0.0008548022
segment2_Gx_median,0.00085133984
segment14_Ax_mean,0.00084745354
segment7_Az_max,0.0008458336
segment21_Az_std,0.0008310425
segment15_Az_mean,0.00082298514
segment12_Ay_mean,0.0008185789
segment13_Ax_std,0.0008163567
segment1_Gy_std,0.00080749893
segment16_Gx_min,0.00077847415
segment23_Ay_max,0.0007736711
segment7_Ay_median,0.0007687728
segment3_Ax_mean,0.0007639681
segment0_Ax_std,0.00076365017
segment0_Ax_min,0.0007618543
segment19_Gx_max,0.0007460343
segment4_Ax_max,0.0007452546
segment11_Az_median,0.00072741177
segment10_Ay_max,0.0007267879
segment1_Gx_median,0.0007253026
segment26_Gy_median,0.0007168768
segment24_Gz_median,0.00071082887
segment25_Gy_median,0.00070567214
segment26_Ay_median,0.0007047895
segment19_Ax_median,0.00069944374
segment16_Ax_min,0.00069868093
segment25_Ay_min,0.00069525326
segment4_Ay_mean,0.00069243944
segment23_Ax_max,0.000691125
segment3_Gz_median,0.00068516075
segment18_Az_mean,0.00068458193
segment0_Gy_mean,0.0006836069
segment5_Ay_mean,0.00068322086
segment14_Az_max,0.0006761519
segment12_Ay_max,0.000675999
segment26_Ax_mean,0.0006730904
segment21_Gx_std,0.00066308264
segment23_Gy_min,0.0006473583
segment13_Gx_median,0.0006366165
segment11_Gz_median,0.0006308363
segment21_Ax_mean,0.0006241128
segment1_Gz_mean,0.0006197424
segment3_Ay_max,0.00061817846
segment10_Ay_min,0.0006107454
segment2_Gy_mean,0.000605209
segment2_Gz_mean,0.00060458394
segment8_Ay_std,0.00058597844
segment23_Ax_min,0.00058343774
segment4_Gz_median,0.0005830619
segment22_Ay_max,0.0005756812
segment4_Gy_median,0.0005745633
segment6_Az_median,0.0005707469
segment14_Gy_min,0.0005672265
segment23_Gy_std,0.0005538873
segment3_Gy_std,0.0005369976
segment26_Ax_std,0.00053661835
segment4_Az_std,0.00053618226
segment2_Gy_min,0.0005334403
segment0_Gz_std,0.00052769954
segment8_Gy_min,0.0005217817
segment18_Gx_median,0.00050161517
segment21_Ax_max,0.00050124666
segment10_Ax_median,0.00050017366
segment24_Ay_median,0.00049862097
segment15_Gy_mean,0.0004953989
segment0_Az_std,0.0004915051
segment17_Ax_min,0.0004911195
segment7_Gz_median,0.00048640766
segment8_Gx_max,0.00048289867
segment5_Az_std,0.0004806513
segment22_Gz_mean,0.00047375145
segment8_Gx_min,0.00046444987
segment2_Ay_min,0.0004642618
segment24_Ax_mean,0.00045912055
segment1_Ax_std,0.00045871967
segment14_Gy_mean,0.00045491706
segment19_Ax_std,0.00045197346
segment8_Ax_min,0.00044684496
segment1_Ay_max,0.00044410452
segment7_Gx_mean,0.00043722877
segment17_Ax_median,0.0004333932
segment5_Gy_std,0.00042073263
segment8_Ay_median,0.00041632986
segment23_Ax_std,0.0004162706
segment20_Gx_median,0.00041183337
segment5_Ax_max,0.0004093694
segment18_Gy_mean,0.00040922375
segment21_Ax_min,0.00040559474
segment8_Ay_max,0.00040221334
segment12_Gz_median,0.00040043128
segment21_Gy_std,0.0003927674
segment20_Gy_mean,0.0003764797
segment22_Az_mean,0.00037168548
segment11_Az_std,0.0003714978
segment21_Ay_median,0.00037032718
segment3_Ax_min,0.00036891171
segment26_Az_min,0.00035293927
segment16_Ax_median,0.00035102555
segment17_Ay_max,0.0003480586
segment5_Gy_median,0.00034548526
segment12_Az_min,0.0003325298
segment26_Gy_mean,0.0003271089
segment11_Ax_mean,0.00032701
segment26_Ay_mean,0.00032569506
segment4_Ay_std,0.00032061094
segment6_Az_min,0.00031894795
segment2_Ax_min,0.00031520054
segment24_Az_max,0.00031504614
segment19_Ay_min,0.00031377818
segment7_Gx_min,0.0003026618
segment3_Ay_std,0.00030201243
segment12_Gx_min,0.00030189217
segment12_Az_mean,0.00029713952
segment6_Ax_std,0.00029667455
segment7_Gx_median,0.0002908246
segment16_Gy_mean,0.00028665608
segment4_Gx_std,0.00028590183
segment20_Gy_std,0.00028410842
segment16_Ay_max,0.00027112523
segment12_Gx_std,0.00026820885
segment4_Ax_min,0.00026769747
segment14_Ay_median,0.00026570944
segment7_Gz_std,0.00026546634
segment10_Gx_mean,0.00026251367
segment26_Gz_max,0.00026231355
segment3_Ay_median,0.0002601636
segment4_Gx_min,0.00025871996
segment18_Ax_max,0.0002444585
segment16_Gx_median,0.0002416952
segment6_Gz_median,0.00023940689
segment1_Gx_std,0.00023758222
segment19_Gy_std,0.00023599333
segment20_Ax_std,0.00023234868
segment2_Gy_std,0.00023043917
segment8_Az_min,0.0002292675
segment0_Ax_max,0.00022185934
segment17_Gy_std,0.00022128384
segment18_Az_max,0.0002179109
segment17_Gy_mean,0.00021764438
segment16_Gy_std,0.00020770545
segment1_Gz_max,0.00019280917
segment0_Gz_max,0.0001872081
segment22_Gx_median,0.00018441144
segment16_Ax_std,0.00018424305
segment1_Az_max,0.00018324032
segment19_Az_max,0.00018217643
segment13_Gx_std,0.00018210751
segment11_Ay_mean,0.00017615351
segment24_Gy_median,0.00017609041
segment22_Az_max,0.00017271018
segment20_Gx_mean,0.00017079218
segment21_Az_min,0.00017071
segment11_Az_max,0.0001692056
segment10_Gz_max,0.00016843517
segment15_Ax_max,0.00016109792
segment10_Az_max,0.00016038163
segment19_Ay_std,0.00015226864
segment21_Az_max,0.00014782917
segment24_Ay_min,0.00014593458
segment22_Ay_mean,0.0001434773
segment10_Gy_mean,0.00014326886
segment11_Az_min,0.00013884672
segment18_Ay_median,0.0001373424
segment18_Ay_max,0.00012792887
segment16_Az_min,0.00012351213
segment7_Ay_min,0.00011444778
segment1_Gz_median,0.000100003635
segment23_Gx_min,9.8005716e-05
segment6_Ay_min,9.392798e-05
segment5_Ay_max,9.386215e-05
segment12_Gy_std,8.733867e-05
segment21_Az_mean,8.728688e-05
segment14_Ay_mean,8.3837156e-05
segment9_Gz_min,8.186135e-05
segment9_Az_min,8.0578524e-05
segment15_Gx_std,8.038862e-05
segment10_Gy_min,7.8081925e-05
segment5_Gz_median,7.372243e-05
segment4_Az_mean,6.793248e-05
segment22_Ax_mean,6.779133e-05
segment17_Gx_std,6.768955e-05
segment2_Az_max,6.742077e-05
segment26_Gz_mean,6.585515e-05
segment25_Ay_mean,6.284712e-05
segment8_Ax_median,5.7545698e-05
segment20_Gy_min,5.384572e-05
segment2_Gx_mean,4.7917456e-05
segment4_Ax_std,4.4084674e-05
segment10_Gy_std,4.079676e-05
segment16_Ay_median,3.1583182e-05
segment17_Az_max,2.595867e-05
segment9_Ax_std,2.282144e-05
segment2_Ay_mean,2.1197751e-05
segment25_Ax_max,1.9238883e-05
segment18_Ax_min,1.8486166e-05
segment6_Az_max,1.01588e-05
segment9_Gx_min,0.0
segment22_Gy_min,0.0
segment21_Ay_std,0.0
segment22_Gy_std,0.0
segment22_Gx_max,0.0
segment20_Gy_median,0.0
segment20_Gz_median,0.0
segment22_Gy_max,0.0
segment9_Gx_std,0.0
segment2_Ax_median,0.0
segment21_Ax_median,0.0
segment2_Ax_max,0.0
segment9_Gx_mean,0.0
segment9_Gz_max,0.0
segment22_Gz_std,0.0
segment22_Gz_min,0.0
segment22_Gz_max,0.0
segment6_Gx_mean,0.0
segment6_Gx_min,0.0
segment22_Gx_min,0.0
segment1_Gy_max,0.0
segment20_Gz_max,0.0
segment21_Gz_min,0.0
segment22_Ax_max,0.0
segment22_Ax_min,0.0
segment22_Ax_std,0.0
segment20_Gz_std,0.0
segment1_Gz_std,0.0
segment21_Gz_max,0.0
segment21_Gz_std,0.0
segment9_Gz_std,0.0
segment21_Gz_mean,0.0
segment9_Az_mean,0.0
segment6_Ay_median,0.0
segment21_Gy_median,0.0
segment21_Gy_max,0.0
segment1_Gz_min,0.0
segment22_Ax_median,0.0
segment21_Gx_median,0.0
segment22_Ay_std,0.0
segment20_Gy_max,0.0
segment9_Gy_mean,0.0
segment9_Gx_median,0.0
segment21_Gx_min,0.0
segment22_Ay_median,0.0
segment9_Gx_max,0.0
segment20_Gz_min,0.0
segment21_Az_median,0.0
segment1_Gy_median,0.0
segment22_Az_min,0.0
segment6_Az_std,0.0
segment9_Gy_std,0.0
segment22_Gx_mean,0.0
segment22_Gx_std,0.0
segment6_Az_mean,0.0
segment12_Ay_min,0.0
segment9_Ay_median,0.0
segment25_Gz_min,0.0
segment25_Gz_mean,0.0
segment25_Gy_max,0.0
segment25_Gy_min,0.0
segment25_Gy_std,0.0
segment8_Az_max,0.0
segment25_Gx_median,0.0
segment0_Gy_std,0.0
segment25_Gx_min,0.0
segment25_Gx_std,0.0
segment25_Gx_mean,0.0
segment0_Gy_max,0.0
segment7_Ay_mean,0.0
segment25_Az_min,0.0
segment8_Gx_mean,0.0
segment25_Az_mean,0.0
segment25_Ay_median,0.0
segment8_Gx_std,0.0
segment8_Gx_median,0.0
segment25_Ay_std,0.0
segment25_Ax_median,0.0
segment7_Ax_std,0.0
segment25_Gz_std,0.0
segment25_Gz_max,0.0
segment6_Gx_median,0.0
segment25_Gz_median,0.0
segment7_Gx_max,0.0
segment7_Gy_mean,0.0
segment7_Gy_max,0.0
segment26_Gy_max,0.0
segment7_Ay_max,0.0
segment26_Gx_median,0.0
segment26_Gx_max,0.0
segment26_Gx_min,0.0
segment26_Gx_std,0.0
segment26_Gx_mean,0.0
